team,year,round,details
Atlanta Hawks Future NBA Draft Picks,2026,First,"More favorable of (i) less favorable of ATL and SAN and (ii) less favorable of (a) CLE and (b) more favorable of UTH 1-8 and MIN [or (ii) CLE if UTH not conveyable] then less favorable of (i) and (ii) to CLE; more favorable of ATL and SAN to SAN (via UTH swap for MIN; via UTH swap of UTH or MIN for CLE; via SAN swap for ATL; via ATL swap of ATL or SAN for CLE, UTH or MIN) ; More favorable of NOP and MIL (via NOP swap for MIL) 2"
Atlanta Hawks Future NBA Draft Picks,2026,Second,To BRK (via GOS) ; Less favorable of (i) BOS and (ii) more favorable of IND and MIA (via MIA to IND to MIL; via MEM swap of IND or MIA for BOS; via BOS to ATL) 1
Atlanta Hawks Future NBA Draft Picks,2027,First,To SAN ; Less favorable of MIL and NOP if either or both 5-30 (via NOP) 1
Atlanta Hawks Future NBA Draft Picks,2027,Second,To POR (via BOS to MEM) 0
Atlanta Hawks Future NBA Draft Picks,2028,First,More favorable of (i) ATL and (ii) less favorable of UTH and CLE then least favorable of all to CLE (via UTH swap for CLE; via ATL swap for UTH or CLE) 1
Atlanta Hawks Future NBA Draft Picks,2028,Second,To BRK (via GOS) 0
Atlanta Hawks Future NBA Draft Picks,2029,First,Own 1
Atlanta Hawks Future NBA Draft Picks,2029,Second,To OKC ; CLE 1
Atlanta Hawks Future NBA Draft Picks,2030,First,Own 1
Atlanta Hawks Future NBA Draft Picks,2030,Second,Own 1
Atlanta Hawks Future NBA Draft Picks,2031,First,Own 1
Atlanta Hawks Future NBA Draft Picks,2031,Second,Own or swap for HOU 31-55 1
Atlanta Hawks Future NBA Draft Picks,2032,First,Own 1
Atlanta Hawks Future NBA Draft Picks,2032,Second,Own 1
Boston Celtics Future NBA Draft Picks,2026,First,Own 1
Boston Celtics Future NBA Draft Picks,2026,Second,"Less favorable of (i) BOS and (ii) more favorable of IND and MIA to ATL then most favorable of all to MEM or to BRK [MEM can swap this pick for LAC; LAC then conveyed to HOU which then conveyed to BRK] (via MIA to IND to MIL; via MEM swap of IND or MIA for BOS; via BOS to ATL; via LAC to HOU to BRK) ; Most favorable of MIN, NYK, NOP and POR (via MIN to NYK; via NOP to POR to NOP; via POR to DET to BOS) ; Most favorable of ORL, DET and MIL (via MIL to ORL; via DET to LAC to ORL) 2"
Boston Celtics Future NBA Draft Picks,2027,First,Own 1
Boston Celtics Future NBA Draft Picks,2027,Second,More favorable of BOS and ORL then other to ORL (via ORL) 1
Boston Celtics Future NBA Draft Picks,2028,First,1 Own; 2-30 Own or SAN (via SAN swap for BOS) 1
Boston Celtics Future NBA Draft Picks,2028,Second,31-45 to SAN if BOS 1 in 2028 ; 46-60 to NYK (via ORL to PHX) 1
Boston Celtics Future NBA Draft Picks,2029,First,"Most and least favorable of BOS, POR and MIL to POR; second most favorable to WAS (via BOS to POR; via MIL to POR; via POR to WAS) 0"
Boston Celtics Future NBA Draft Picks,2029,Second,To OKC 0
Boston Celtics Future NBA Draft Picks,2030,First,Own 1
Boston Celtics Future NBA Draft Picks,2030,Second,To BRK (via HOU) 0
Boston Celtics Future NBA Draft Picks,2031,First,Own 1
Boston Celtics Future NBA Draft Picks,2031,Second,Own ; CLE (via ATL) ; HOU 56-60 2 + 1
Boston Celtics Future NBA Draft Picks,2032,First,Frozen (through 2027-28) 1
Boston Celtics Future NBA Draft Picks,2032,Second,Own 1
Brooklyn Nets Future NBA Draft Picks,2026,First,Own (via HOU) 1
Brooklyn Nets Future NBA Draft Picks,2026,Second,"Own ; ATL (via GOS) ; Less favorable of (i) LAC and (ii) most favorable of BOS, IND and MIA (via MIA to IND to MIL; via MEM swap of IND or MIA for BOS; via MEM swap of BOS, IND or MIA for LAC; via LAC to HOU to BRK) 3"
Brooklyn Nets Future NBA Draft Picks,2027,First,Own or HOU (via HOU swap for BRK) ; NYK 2
Brooklyn Nets Future NBA Draft Picks,2027,Second,More favorable of BRK and DAL to WAS then other to DET (via DAL to BRK to DET; via DET to WAS) ; LAL if LAL conveys 1st round pick to UTH in 2027 1
Brooklyn Nets Future NBA Draft Picks,2028,First,"If (i) PHL 9-30 , if PHL conveys 1st round pick to OKC in 2026, is third most favorable and (ii) NYK is most or second most favorable of BRK, PHL 9-30 if conveyable , PHX and NYK, then most and third most favorable to BRK; or most / two most favorable to BRK in all other scenarios ; least favorable of BRK, PHX and NYK to NYK if NYK and / or if PHL 9-30 , if conveyable, is less favorable than BRK and PHX; or second most favorable of BRK, PHX and NYK to NYK in all other scenarios ; more favorable of (i) WAS and (ii) least / less favorable of BRK, PHL 9-30 if conveyable, and PHX to WAS then least favorable of all to PHX [WAS can then swap with MIL] (via BRK swap of BRK or PHL for PHX; via BRK swap of BRK or PHX for NYK; via WAS swap for PHX, BRK or PHL) 1 + 1"
Brooklyn Nets Future NBA Draft Picks,2028,Second,Own ; ATL (via GOS) ; MEM (via PHX) ; PHL if PHL does not convey 1st round pick to BRK in 2028 3 + 1
Brooklyn Nets Future NBA Draft Picks,2029,First,"Own ; Least favorable of DAL, PHX and HOU (via DAL and PHX to BRK; via DAL or PHX to HOU; via HOU swap for DAL or PHX) ; NYK 3"
Brooklyn Nets Future NBA Draft Picks,2029,Second,Own ; DAL; GOS; MEM (via PHX) 4
Brooklyn Nets Future NBA Draft Picks,2030,First,Own 1
Brooklyn Nets Future NBA Draft Picks,2030,Second,Own ; BOS (via HOU) ; DAL (via BOS to MEM) ; LAL 4
Brooklyn Nets Future NBA Draft Picks,2031,First,Own ; NYK 2
Brooklyn Nets Future NBA Draft Picks,2031,Second,Own ; LAL 2
Brooklyn Nets Future NBA Draft Picks,2032,First,Own ; DEN 2
Brooklyn Nets Future NBA Draft Picks,2032,Second,Own 1
Charlotte Hornets Future NBA Draft Picks,2026,First,"Own ; Least favorable of PHX, WAS 1-8, ORL and MEM (via WAS swap for PHX; via MEM swap of ORL for PHX or WAS; via MEM swap for PHX, WAS or ORL; via PHX to CHA) 2"
Charlotte Hornets Future NBA Draft Picks,2026,Second,31-55 to SAC; 56-60 to DET (via NYK to ATL to SAN to SAC) ; More favorable of DEN and GOS (via DEN to PHX; via GOS to ATL to OKC to NYK) 1
Charlotte Hornets Future NBA Draft Picks,2027,First,Own ; DAL 3-30; MIA 15-30 1 + 2
Charlotte Hornets Future NBA Draft Picks,2027,Second,To SAC if SAN 17-30 in 2027 or to OKC if SAN 1-16 in 2027 (via NYK to ATL to SAN to SAC) ; More favorable of POR and NOP (via POR) 1
Charlotte Hornets Future NBA Draft Picks,2028,First,Own ; MIA if not already settled 1 + 1
Charlotte Hornets Future NBA Draft Picks,2028,Second,More favorable of CHA and LAC then other to DET [DET may convey to UTH] (via CHA to DAL) ; MIA if DAL does not convey 1st round pick to CHA in 2027 (via SAN to DAL) 1 + 1
Charlotte Hornets Future NBA Draft Picks,2029,First,"Own ; Least / less favorable of UTH, CLE and MIN 6-30 (via CLE and MIN to UTH to PHX) 2"
Charlotte Hornets Future NBA Draft Picks,2029,Second,Own ; DEN if DEN has conveyed a first potential 1st round pick to OKC by 2029 1 + 1
Charlotte Hornets Future NBA Draft Picks,2030,First,Own 1
Charlotte Hornets Future NBA Draft Picks,2030,Second,Own ; More favorable of UTH and LAC (via UTH) 2
Charlotte Hornets Future NBA Draft Picks,2031,First,Own 1
