Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Jalen Wilson,24,79,22,2031,246,620,.397,122,362,.337,124,258,.481,.495,135,165,.818,75,195,270,145,40,5,79,164,749,0,,wilsoja03
2,Keon Johnson,22,79,56,1925,303,779,.389,126,401,.314,177,378,.468,.470,107,139,.770,63,234,297,175,82,30,116,209,839,0,,johnske07
3,Nic Claxton,25,70,62,1882,320,568,.563,5,21,.238,315,547,.576,.568,79,154,.513,157,358,515,157,62,100,87,150,724,0,,claxtni01
4,Cameron Johnson,28,57,57,1800,355,747,.475,159,408,.390,196,339,.578,.582,201,225,.893,54,193,247,194,53,25,99,104,1070,0,,johnsca02
5,Ziaire Williams,23,63,45,1541,214,520,.412,103,302,.341,111,218,.509,.511,101,123,.821,61,226,287,84,62,28,67,149,632,0,,willizi02
6,Tyrese Martin,25,60,11,1315,189,465,.406,99,282,.351,90,183,.492,.513,46,58,.793,58,161,219,122,34,9,74,77,523,0,,martity01
7,Noah Clowney,20,46,20,1042,133,372,.358,87,261,.333,46,111,.414,.474,67,80,.838,43,138,181,40,24,21,46,105,420,0,,clownno01
8,Trendon Watford,24,44,6,913,164,350,.469,29,88,.330,135,262,.515,.510,93,122,.762,37,123,160,115,27,12,83,95,450,0,,watfotr01
9,Day'Ron Sharpe,23,50,2,907,165,317,.521,11,45,.244,154,272,.566,.538,56,74,.757,149,181,330,91,41,42,63,113,397,0,,sharpda01
10,Ben Simmons,28,33,24,825,93,170,.547,0,0,,93,170,.547,.547,18,26,.692,30,142,172,229,26,16,88,81,204,0,,simmobe01
11,Cam Thomas,23,25,23,781,199,454,.438,68,195,.349,131,259,.506,.513,133,151,.881,15,68,83,94,15,2,62,44,599,0,,thomaca02
12,Dennis Schröder,31,23,23,772,147,325,.452,58,150,.387,89,175,.509,.542,72,81,.889,4,64,68,152,26,4,59,56,424,0,,schrode01
13,D'Angelo Russell,28,29,26,717,120,327,.367,57,192,.297,63,135,.467,.454,76,92,.826,12,70,82,161,33,19,58,62,373,0,,russeda01
14,Tosan Evbuomwan,23,28,0,665,94,220,.427,24,77,.312,70,143,.490,.482,55,73,.753,32,88,120,55,24,10,39,55,267,0,,evbuoto01
15,Dorian Finney-Smith,31,20,20,579,73,159,.459,47,108,.435,26,51,.510,.607,15,24,.625,31,60,91,31,18,12,18,54,208,0,,finnedo01
16,Shake Milton,28,27,1,492,73,157,.465,28,72,.389,45,85,.529,.554,25,33,.758,16,35,51,64,15,1,20,43,199,0,,miltosh01
17,Reece Beekman,23,34,4,465,34,106,.321,7,40,.175,27,66,.409,.354,16,21,.762,12,26,38,62,32,2,21,35,91,0,,beekmre01
18,Maxwell Lewis,22,21,1,298,43,102,.422,19,50,.380,24,52,.462,.515,7,10,.700,16,37,53,17,8,7,12,28,112,0,,lewisma05
19,Drew Timme,24,9,2,254,45,102,.441,9,35,.257,36,67,.537,.485,10,16,.625,17,48,65,20,4,1,15,21,109,0,,timmedr01
20,Dariq Whitehead,20,20,0,246,39,96,.406,33,74,.446,6,22,.273,.578,3,5,.600,4,25,29,12,6,1,15,22,114,0,,whiteda01
21,Killian Hayes,23,6,5,162,18,43,.419,8,21,.381,10,22,.455,.512,10,12,.833,5,13,18,31,4,4,9,13,54,0,,hayeski01
22,Tyson Etienne,25,7,0,151,17,52,.327,13,44,.295,4,8,.500,.452,8,10,.800,3,6,9,12,3,1,8,17,55,0,,etienty01
23,Cui Yongxi,21,5,0,10,1,7,.143,0,3,.000,1,4,.250,.143,1,2,.500,0,2,2,0,0,0,0,0,3,0,,cuiyo01
24,Jaylen Martin,21,3,0,5,1,2,.500,1,1,1.000,0,1,.000,.750,0,0,,0,0,0,0,0,0,0,1,3,0,,martija02
,Team Totals,,82,82,19778,3086,7060,.437,1113,3232,.344,1973,3828,.515,.516,1334,1696,.787,894,2493,3387,2063,639,352,1138,1698,8619,0,,-9999
