Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Coby White,24,74,73,2450,508,1121,.453,216,584,.370,292,537,.544,.550,277,307,.902,25,248,273,330,69,16,177,154,1509,0,,whiteco01
2,Nikola Vučević,34,73,72,2278,550,1038,.530,129,321,.402,421,717,.587,.592,120,149,.805,178,557,735,256,61,52,119,163,1349,1,,vucevni01
3,Josh Giddey,22,70,69,2117,371,798,.465,105,278,.378,266,520,.512,.531,175,224,.781,127,439,566,503,84,45,202,122,1022,7,,giddejo01
4,Patrick Williams,23,63,36,1576,205,516,.397,96,272,.353,109,244,.447,.490,60,83,.723,43,194,237,124,48,32,86,88,566,0,,willipa01
5,Matas Buzelis,20,80,31,1511,252,555,.454,96,266,.361,156,289,.540,.541,88,108,.815,55,223,278,79,29,75,74,128,688,0,ROY-7,buzelma01
6,Zach LaVine,29,42,42,1432,363,710,.511,136,305,.446,227,405,.560,.607,145,182,.797,12,190,202,189,39,10,121,64,1007,0,,lavinza01
7,Ayo Dosunmu,25,46,26,1394,221,449,.492,62,189,.328,159,260,.612,.561,62,79,.785,26,135,161,208,43,18,69,105,566,1,,dosunay01
8,Julian Phillips,21,79,5,1123,128,287,.446,50,153,.327,78,134,.582,.533,60,76,.789,67,102,169,39,38,20,27,108,366,0,,phillju01
9,Dalen Terry,22,73,5,987,120,268,.448,37,104,.356,83,164,.506,.517,49,69,.710,38,86,124,97,44,15,53,114,326,0,,terryda01
10,Jalen Smith,24,64,2,962,190,408,.466,72,222,.324,118,186,.634,.554,72,89,.809,89,268,357,65,17,44,37,95,524,0,,smithja04
11,Kevin Huerter,26,26,16,780,129,294,.439,70,186,.376,59,108,.546,.558,15,21,.714,11,74,85,82,30,7,30,51,343,0,,huertke01
12,Lonzo Ball,27,35,14,777,89,243,.366,67,195,.344,22,48,.458,.504,22,27,.815,25,93,118,115,47,17,41,55,267,0,,balllo01
13,Talen Horton-Tucker,24,58,0,724,133,291,.457,41,122,.336,92,169,.544,.527,72,98,.735,19,81,100,83,21,11,40,59,379,0,,hortota01
14,Zach Collins,27,28,8,552,92,170,.541,18,60,.300,74,110,.673,.594,38,43,.884,64,123,187,59,15,14,37,62,240,0,,colliza01
15,Tre Jones,25,18,9,455,83,145,.572,11,22,.500,72,123,.585,.610,30,34,.882,16,42,58,88,19,5,14,22,207,0,,jonestr01
16,Jevon Carter,29,36,1,321,55,146,.377,35,105,.333,20,41,.488,.497,8,10,.800,4,35,39,40,13,3,11,15,153,0,,carteje01
17,Torrey Craig,34,9,1,113,22,45,.489,15,35,.429,7,10,.700,.656,3,4,.750,8,17,25,5,2,1,0,15,62,0,,craigto01
18,Chris Duarte,27,17,0,74,12,26,.462,6,15,.400,6,11,.545,.577,6,8,.750,5,15,20,9,0,0,1,7,36,0,,duartch01
19,E.J. Liddell,24,12,0,53,8,15,.533,3,10,.300,5,5,1.000,.633,2,2,1.000,3,6,9,3,1,1,2,11,21,0,,liddeej01
20,Jahmir Young,24,6,0,30,4,5,.800,1,2,.500,3,3,1.000,.900,2,2,1.000,1,2,3,6,0,0,1,2,11,0,,youngja05
21,Emanuel Miller,24,6,0,25,4,8,.500,0,1,.000,4,7,.571,.500,2,2,1.000,4,4,8,2,1,0,0,3,10,0,,milleem01
22,Adama Sanogo,22,4,0,21,4,7,.571,0,0,,4,7,.571,.571,0,0,,5,1,6,1,0,0,1,1,8,0,,sanogad01
,Team Totals,,82,82,19755,3543,7545,.470,1266,3447,.367,2277,4098,.556,.553,1308,1617,.809,825,2935,3760,2383,621,386,1143,1444,9660,9,,-9999
