Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Spencer Dinwiddie,31,79,30,2136,284,682,.416,109,326,.334,175,356,.492,.496,195,243,.802,18,191,209,349,70,17,102,121,872,0,,dinwisp01
2,Klay Thompson,34,72,72,1965,361,877,.412,216,553,.391,145,324,.448,.535,67,74,.905,44,202,246,145,50,30,88,81,1005,0,,thompkl01
3,Naji Marshall,27,69,31,1919,362,712,.508,60,218,.275,302,494,.611,.551,130,160,.813,76,252,328,208,70,11,112,109,914,0,,marshna01
4,P.J. Washington,26,57,56,1835,301,665,.453,91,239,.381,210,426,.493,.521,143,198,.722,82,360,442,131,63,60,118,131,836,0,,washipj01
5,Kyrie Irving,32,50,50,1804,447,945,.473,144,359,.401,303,586,.517,.549,196,214,.916,60,180,240,231,66,23,111,101,1234,0,CPOY-10AS,irvinky01
6,Daniel Gafford,26,57,31,1226,283,403,.702,0,0,,283,403,.702,.702,135,196,.689,155,233,388,80,23,102,66,152,701,0,,gaffoda01
7,Quentin Grimes,24,47,12,1070,169,365,.463,80,201,.398,89,164,.543,.573,62,81,.765,30,149,179,101,32,10,61,78,480,0,,grimequ01
8,Max Christie,21,32,11,973,124,302,.411,55,151,.364,69,151,.457,.502,56,65,.862,13,122,135,80,29,10,49,42,359,0,,chrisma02
9,Jaden Hardy,22,57,3,907,180,414,.435,76,197,.386,104,217,.479,.527,60,86,.698,9,80,89,81,28,5,82,90,496,0,,hardyja02
10,Dereck Lively II,20,36,29,833,134,191,.702,0,0,,134,191,.702,.702,46,73,.630,104,166,270,85,20,56,41,100,314,0,,livelde01
11,Luka Dončić,25,22,22,785,216,466,.464,75,212,.354,141,254,.555,.544,112,146,.767,16,167,183,172,44,9,75,58,619,3,,doncilu01
12,Maxi Kleber,33,34,4,637,37,96,.385,13,49,.265,24,47,.511,.453,16,21,.762,25,70,95,43,9,17,23,66,103,0,,klebima01
13,Kessler Edwards,24,40,18,608,67,135,.496,22,54,.407,45,81,.556,.578,12,13,.923,22,93,115,42,19,20,16,62,168,0,,edwarke02
14,Olivier-Maxence Prosper,22,52,4,584,70,174,.402,12,51,.235,58,123,.472,.437,49,76,.645,44,82,126,40,26,6,14,28,201,0,,prospol01
15,Dwight Powell,33,55,3,551,42,61,.689,2,5,.400,40,56,.714,.705,28,43,.651,47,71,118,55,18,21,18,75,114,0,,poweldw01
16,Brandon Williams,25,33,3,487,98,188,.521,24,60,.400,74,128,.578,.585,55,66,.833,12,46,58,76,24,5,39,33,275,0,,willibr03
17,Dante Exum,29,20,13,372,64,134,.478,23,53,.434,41,81,.506,.563,23,31,.742,4,29,33,56,12,3,22,34,174,0,,exumda01
18,Caleb Martin,29,14,0,275,28,72,.389,4,16,.250,24,56,.429,.417,15,24,.625,10,31,41,26,12,3,13,24,75,0,,martica02
19,Anthony Davis,31,9,9,266,70,152,.461,7,30,.233,63,122,.516,.484,33,48,.688,15,76,91,40,5,20,20,16,180,1,AS,davisan02
20,Kai Jones,24,12,6,260,61,73,.836,1,3,.333,60,70,.857,.842,14,20,.700,25,54,79,15,9,10,8,27,137,0,,joneska01
21,Moses Brown,25,4,2,73,21,29,.724,0,0,,21,29,.724,.724,5,6,.833,8,23,31,2,4,3,5,11,47,0,,brownmo01
22,Kylor Kelley,27,8,1,67,10,13,.769,0,0,,10,13,.769,.769,4,6,.667,8,13,21,2,0,2,1,8,24,0,,kelleky01
23,Jazian Gortman,21,16,0,57,9,23,.391,4,11,.364,5,12,.417,.478,2,4,.500,1,4,5,6,2,1,5,9,24,0,,gortmja01
24,Markieff Morris,35,7,0,41,5,22,.227,2,13,.154,3,9,.333,.273,0,0,,0,8,8,4,1,1,2,2,12,0,,morrima02
,Team Totals,,82,82,19731,3443,7194,.479,1020,2801,.364,2423,4393,.552,.549,1458,1894,.770,828,2702,3530,2070,636,445,1091,1458,9364,4,,-9999
