Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Christian Braun,23,79,77,2675,476,821,.580,89,224,.397,387,597,.648,.634,177,214,.827,98,312,410,205,85,37,81,170,1218,0,,braunch01
2,Michael Porter Jr.,26,77,77,2593,528,1048,.504,193,489,.395,335,559,.599,.596,149,194,.768,138,402,540,165,50,38,104,157,1398,0,,portemi01
3,Nikola Jokić,29,70,70,2571,786,1364,.576,138,331,.417,648,1033,.627,.627,361,451,.800,200,692,892,716,127,45,230,160,2071,34,MVP-2CPOY-2ASNBA1,jokicni01
4,Jamal Murray,27,67,67,2418,531,1121,.474,156,397,.393,375,724,.518,.543,218,246,.886,45,216,261,403,91,33,138,128,1436,0,,murraja01
5,Russell Westbrook,36,75,36,2092,373,831,.449,94,291,.323,279,540,.517,.505,154,233,.661,102,268,370,457,106,37,242,188,994,4,6MOY-7,westbru01
6,Peyton Watson,22,68,18,1656,204,428,.477,48,136,.353,156,292,.534,.533,95,137,.693,47,186,233,94,48,93,56,123,551,0,,watsope01
7,Aaron Gordon,29,51,42,1447,264,497,.531,75,172,.436,189,325,.582,.607,145,179,.810,80,167,247,164,23,14,73,82,748,0,,gordoaa01
8,Julian Strawther,22,65,4,1384,210,486,.432,94,269,.349,116,217,.535,.529,74,90,.822,17,125,142,83,39,16,57,151,588,0,,strawju01
9,DeAndre Jordan,36,56,5,691,91,140,.650,0,0,,91,140,.650,.650,27,64,.422,84,200,284,53,16,27,40,74,209,0,,jordade01
10,Jalen Pickett,25,49,4,666,77,180,.428,40,101,.396,37,79,.468,.539,6,8,.750,15,56,71,107,19,5,24,38,200,1,,pickeja02
11,Zeke Nnaji,24,57,4,608,70,141,.496,17,52,.327,53,89,.596,.557,27,44,.614,33,57,90,23,25,38,14,62,184,0,,nnajize01
12,Hunter Tyson,24,51,2,400,45,120,.375,23,74,.311,22,46,.478,.471,21,28,.750,25,53,78,20,10,6,14,44,134,0,,tysonhu01
13,Dario Šarić,30,16,4,210,21,58,.362,7,26,.269,14,32,.438,.422,7,10,.700,14,36,50,23,7,1,15,19,56,0,,saricda01
14,Vlatko Čančar,27,13,0,136,10,26,.385,4,15,.267,6,11,.545,.462,0,0,,6,26,32,9,3,2,11,10,24,0,,cancavl01
15,Spencer Jones,23,20,0,125,11,34,.324,1,17,.059,10,17,.588,.338,3,3,1.000,8,9,17,5,5,5,5,17,26,0,,jonessp01
16,Trey Alexander,21,24,0,117,13,41,.317,3,17,.176,10,24,.417,.354,3,4,.750,1,11,12,11,2,1,5,10,32,0,,alexatr01
17,PJ Hall,22,19,0,66,14,24,.583,2,8,.250,12,16,.750,.625,3,4,.750,6,16,22,4,0,4,2,11,33,0,,hallpj01
,Team Totals,,82,82,19855,3724,7360,.506,984,2619,.376,2740,4741,.578,.573,1470,1909,.770,919,2832,3751,2542,656,402,1111,1444,9902,39,,-9999
