Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Stephen Curry,36,70,70,2252,564,1258,.448,311,784,.397,253,474,.534,.572,279,299,.933,40,270,310,421,80,30,200,95,1718,0,MVP-9CPOY-5ASNBA2,curryst01
2,Draymond Green,34,68,66,1983,216,509,.424,80,246,.325,136,263,.517,.503,101,147,.687,74,340,414,383,99,70,174,219,613,1,DPOY-3DEF1,greendr01
3,Buddy Hield,32,82,22,1863,328,786,.417,203,549,.370,125,237,.527,.546,53,64,.828,51,213,264,134,69,23,91,132,912,0,,hieldbu01
4,Brandin Podziemski,21,64,33,1716,280,629,.445,115,309,.372,165,320,.516,.537,72,95,.758,65,260,325,220,69,13,75,95,747,0,,podzibr01
5,Moses Moody,22,74,34,1649,246,568,.433,126,337,.374,120,231,.519,.544,106,133,.797,52,137,189,96,59,31,54,116,724,0,,moodymo01
6,Andrew Wiggins,29,43,43,1296,261,588,.444,94,248,.379,167,340,.491,.524,139,179,.777,66,131,197,102,40,33,56,70,755,0,,wiggian01
7,Jonathan Kuminga,22,47,10,1144,258,568,.454,46,151,.305,212,417,.508,.495,157,235,.668,56,161,217,104,38,21,71,90,719,0,,kuminjo01
8,Kevon Looney,28,76,6,1142,143,278,.514,2,5,.400,141,273,.516,.518,56,99,.566,185,277,462,118,46,37,39,154,344,0,,looneke01
9,Jimmy Butler,35,30,30,980,159,334,.476,19,68,.279,140,266,.526,.504,201,231,.870,70,95,165,178,50,8,44,29,538,2,,butleji01
10,Trayce Jackson-Davis,24,62,37,967,174,302,.576,0,3,.000,174,299,.582,.576,59,102,.578,122,189,311,104,23,38,45,73,407,0,,jackstr02
11,Gary Payton II,32,62,11,927,171,298,.574,31,95,.326,140,203,.690,.626,27,38,.711,53,132,185,83,52,17,39,108,400,0,,paytoga02
12,Gui Santos,22,56,2,762,82,179,.458,34,103,.330,48,76,.632,.553,29,42,.690,72,100,172,80,25,10,42,91,227,0,,santogu01
13,Quinten Post,24,42,14,686,123,274,.449,73,179,.408,50,95,.526,.582,21,27,.778,35,113,148,56,16,18,33,83,340,0,,postqu01
14,Lindy Waters III,27,38,9,655,76,205,.371,49,148,.331,27,57,.474,.490,8,11,.727,16,80,96,42,22,10,17,55,209,0,,waterli01
15,Dennis Schröder,31,24,18,628,94,251,.375,37,115,.322,57,136,.419,.448,29,39,.744,10,46,56,105,25,3,48,67,254,0,,schrode01
16,Kyle Anderson,31,36,3,541,76,169,.450,19,52,.365,57,117,.487,.506,18,27,.667,27,83,110,81,26,20,20,40,189,0,,anderky01
17,Pat Spencer,28,39,0,250,41,101,.406,5,22,.227,36,79,.456,.431,11,15,.733,15,31,46,48,14,3,18,20,98,0,,spencpa01
18,De'Anthony Melton,26,6,2,121,22,54,.407,13,35,.371,9,19,.474,.528,5,8,.625,6,14,20,17,7,2,10,18,62,0,,meltode01
19,Kevin Knox,25,14,0,84,18,36,.500,4,15,.267,14,21,.667,.556,6,8,.750,7,10,17,5,2,4,4,6,46,0,,knoxke01
20,Jackson Rowe,28,6,0,52,8,17,.471,3,10,.300,5,7,.714,.559,3,6,.500,3,8,11,4,4,0,1,4,22,0,,roweja01
21,Yuri Collins,23,2,0,16,1,3,.333,0,0,,1,3,.333,.333,0,0,,2,1,3,4,2,0,0,5,2,0,,colliyu01
22,Braxton Key,27,3,0,11,0,4,.000,0,1,.000,0,3,.000,.000,3,6,.500,1,1,2,0,2,0,1,0,3,0,,keybr01
23,Reece Beekman,23,2,0,4,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,0,1,1,1,0,0,1,2,0,,beekmre01
,Team Totals,,82,82,19729,3342,7412,.451,1264,3475,.364,2078,3937,.528,.536,1383,1811,.764,1029,2692,3721,2386,771,391,1082,1571,9331,3,,-9999
