Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Pascal Siakam,30,78,78,2548,613,1182,.519,126,324,.389,487,858,.568,.572,226,308,.734,133,407,540,263,70,42,109,189,1578,0,AS,siakapa01
2,Tyrese Haliburton,24,73,73,2451,476,1006,.473,218,562,.388,258,444,.581,.582,189,222,.851,42,216,258,673,105,49,120,92,1359,0,NBA3,halibty01
3,Myles Turner,28,72,72,2174,390,811,.481,156,394,.396,234,417,.561,.577,184,238,.773,90,381,471,111,54,144,123,183,1120,0,,turnemy01
4,Bennedict Mathurin,22,72,49,2149,391,853,.458,98,288,.340,293,565,.519,.516,276,332,.831,87,296,383,136,47,24,135,162,1156,0,,mathube01
5,Andrew Nembhard,25,65,65,1881,247,539,.458,51,175,.291,196,364,.538,.506,108,136,.794,34,182,216,326,79,11,112,149,653,0,,nembhan01
6,Obi Toppin,26,79,4,1545,317,599,.529,110,301,.365,207,298,.695,.621,89,114,.781,56,262,318,128,46,28,68,108,833,0,,toppiob01
7,T.J. McConnell,32,79,1,1415,324,624,.519,15,49,.306,309,575,.537,.531,57,77,.740,44,149,193,351,83,21,109,79,720,0,,mccontj01
8,Ben Sheppard,23,63,9,1228,120,287,.418,68,199,.342,52,88,.591,.537,24,27,.889,44,133,177,85,38,14,22,125,332,0,,sheppbe01
9,Jarace Walker,21,75,5,1187,170,360,.472,75,185,.405,95,175,.543,.576,46,69,.667,25,204,229,110,54,25,78,115,461,0,,walkeja02
10,Aaron Nesmith,25,45,37,1123,192,379,.507,84,195,.431,108,184,.587,.617,73,80,.913,37,141,178,54,35,17,37,114,541,0,,nesmiaa01
11,Thomas Bryant,27,56,8,848,151,293,.515,42,131,.321,109,162,.673,.587,44,53,.830,77,142,219,49,27,32,28,67,388,0,,bryanth01
12,Quenton Jackson,26,28,7,381,58,122,.475,15,40,.375,43,82,.524,.537,31,40,.775,14,30,44,53,21,5,16,43,162,0,,jacksqu01
13,Johnny Furphy,20,50,0,379,35,92,.380,15,50,.300,20,42,.476,.462,18,22,.818,23,48,71,19,18,11,12,41,103,0,,furphjo01
14,Enrique Freeman,24,22,1,181,16,37,.432,1,10,.100,15,27,.556,.446,13,19,.684,11,19,30,9,3,3,6,21,46,0,,freemen01
15,Tony Bradley,27,14,0,113,29,45,.644,1,3,.333,28,42,.667,.656,2,6,.333,18,24,42,6,2,9,5,11,61,0,,bradlto01
16,Isaiah Jackson,23,5,1,84,14,23,.609,0,0,,14,23,.609,.609,7,14,.500,11,17,28,5,3,8,5,14,35,0,,jacksis01
17,RayJ Dennis,23,11,0,70,11,33,.333,6,21,.286,5,12,.417,.424,2,2,1.000,2,10,12,14,7,2,5,7,30,0,,dennira01
18,Moses Brown,25,9,0,46,13,20,.650,0,0,,13,20,.650,.650,3,5,.600,4,9,13,0,2,1,6,6,29,0,,brownmo01
19,James Johnson,37,12,0,37,4,11,.364,0,3,.000,4,8,.500,.364,0,1,.000,0,6,6,4,0,2,4,5,8,0,,johnsja01
20,Tristen Newton,23,5,0,8,1,6,.167,0,3,.000,1,3,.333,.167,1,1,1.000,0,0,0,1,0,0,1,2,3,0,,newtotr01
21,James Wiseman,23,1,0,5,2,4,.500,0,1,.000,2,3,.667,.500,2,2,1.000,0,1,1,0,0,0,0,0,6,0,,wisemja01
22,Jahlil Okafor,29,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0,0,,okafoja01
,Team Totals,,82,82,19856,3574,7326,.488,1081,2934,.368,2493,4392,.568,.562,1395,1768,.789,752,2678,3430,2398,694,448,1001,1533,9624,0,,-9999
