Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,James Harden,35,79,79,2789,531,1295,.410,235,668,.352,296,627,.472,.501,505,578,.874,55,401,456,687,118,55,341,162,1802,3,MVP-10ASNBA3,hardeja01
2,Ivica Zubac,27,80,80,2624,592,942,.628,0,0,,592,942,.628,.628,156,236,.661,300,710,1010,214,55,90,127,168,1340,1,DPOY-6DEF2,zubaciv01
3,Norman Powell,31,60,60,1958,457,945,.484,179,428,.418,278,517,.538,.578,213,265,.804,21,169,190,125,73,9,108,114,1306,0,,powelno01
4,Derrick Jones Jr.,27,77,55,1873,310,589,.526,78,219,.356,232,370,.627,.593,83,118,.703,93,170,263,60,79,33,66,153,781,0,,jonesde02
5,Kris Dunn,30,74,58,1783,192,437,.439,75,224,.335,117,213,.549,.525,15,22,.682,53,198,251,210,128,27,74,197,474,0,,dunnkr01
6,Amir Coffey,27,72,13,1748,240,510,.471,101,247,.409,139,263,.529,.570,115,129,.891,32,129,161,77,40,7,45,120,696,0,,coffeam01
7,Nicolas Batum,36,78,8,1367,104,238,.437,88,203,.433,16,35,.457,.622,17,21,.810,47,171,218,84,52,36,34,111,313,0,,batumni01
8,Kawhi Leonard,33,37,37,1180,310,623,.498,78,190,.411,232,433,.536,.560,98,121,.810,35,184,219,116,59,17,72,56,796,0,,leonaka01
9,Kevin Porter Jr.,24,45,2,884,172,407,.423,26,106,.245,146,301,.485,.455,49,76,.645,29,131,160,144,43,11,84,70,419,0,,porteke02
10,Bogdan Bogdanović,32,30,4,750,127,268,.474,61,143,.427,66,125,.528,.588,28,32,.875,12,81,93,97,21,5,37,70,343,0,,bogdabo01
11,Terance Mann,28,37,12,732,87,195,.446,26,75,.347,61,120,.508,.513,23,32,.719,32,75,107,59,28,11,25,68,223,0,,mannte01
12,Jordan Miller,25,37,0,420,58,134,.433,8,38,.211,50,96,.521,.463,28,35,.800,23,35,58,34,17,5,26,26,152,0,,millejo02
13,Mo Bamba,26,28,2,352,48,103,.466,15,50,.300,33,53,.623,.539,17,25,.680,26,94,120,16,9,28,19,49,128,0,,bambamo01
14,Ben Simmons,28,18,0,295,23,53,.434,0,0,,23,53,.434,.434,6,7,.857,17,52,69,56,12,7,14,26,52,0,,simmobe01
15,Kobe Brown,25,40,0,272,33,72,.458,6,26,.231,27,46,.587,.500,5,7,.714,19,46,65,24,7,4,12,23,77,0,,brownko01
16,Bones Hyland,24,20,0,222,45,115,.391,31,80,.388,14,35,.400,.526,23,26,.885,5,19,24,28,18,4,24,26,144,0,,hylanbo01
17,Kai Jones,24,28,0,208,26,36,.722,0,2,.000,26,34,.765,.722,9,12,.750,15,31,46,10,6,13,10,23,61,0,,joneska01
18,Drew Eubanks,27,24,0,178,27,49,.551,0,1,.000,27,48,.563,.551,11,14,.786,20,38,58,9,2,7,10,17,65,0,,eubandr01
19,Patty Mills,36,12,0,61,10,20,.500,9,18,.500,1,2,.500,.725,8,9,.889,1,0,1,5,1,0,1,12,37,0,,millspa02
20,Cam Christie,19,13,0,59,7,24,.292,2,13,.154,5,11,.455,.333,2,4,.500,3,9,12,6,5,1,2,4,18,0,,chrisca02
21,Trentyn Flowers,19,6,0,27,4,11,.364,0,2,.000,4,9,.444,.364,3,3,1.000,1,3,4,0,0,0,1,4,11,0,,flowetr01
22,MarJon Beauchamp,24,3,0,17,4,7,.571,2,3,.667,2,4,.500,.714,2,4,.500,2,1,3,2,0,0,1,2,12,0,,beaucma01
23,Patrick Baldwin Jr.,22,2,0,6,2,2,1.000,2,2,1.000,0,0,,1.500,0,0,,0,3,3,1,0,0,0,2,6,0,,baldwpa01
,Team Totals,,82,82,19805,3409,7075,.482,1022,2738,.373,2387,4337,.550,.554,1416,1776,.797,841,2750,3591,2064,773,370,1133,1503,9256,4,,-9999
