Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Austin Reaves,26,73,73,2550,477,1037,.460,200,531,.377,277,506,.547,.556,321,366,.877,61,268,329,421,81,22,177,151,1475,1,,reaveau01
2,LeBron James,40,70,70,2444,651,1270,.513,149,396,.376,502,874,.574,.571,259,331,.782,72,474,546,575,70,39,260,99,1710,10,MVP-6CPOY-7ASNBA2,jamesle01
3,Rui Hachimura,26,59,57,1869,293,576,.509,102,247,.413,191,329,.581,.597,87,113,.770,79,216,295,83,45,26,49,105,775,0,,hachiru01
4,Gabe Vincent,28,72,11,1527,168,420,.400,109,309,.353,59,111,.532,.530,15,21,.714,20,72,92,98,51,13,41,152,460,0,,vincega01
5,Dalton Knecht,23,78,16,1494,257,557,.461,128,340,.376,129,217,.594,.576,64,84,.762,37,179,216,66,24,8,37,93,706,0,,knechda01
6,Anthony Davis,31,42,42,1440,400,758,.528,28,94,.298,372,664,.560,.546,253,321,.788,119,380,499,141,54,90,93,82,1081,0,AS,davisan02
7,Dorian Finney-Smith,31,43,20,1239,122,276,.442,82,206,.398,40,70,.571,.591,15,21,.714,49,107,156,59,40,11,38,82,341,0,,finnedo01
8,Max Christie,21,46,25,1154,128,288,.444,60,163,.368,68,125,.544,.549,74,87,.851,25,98,123,66,35,21,39,73,390,0,,chrisma02
9,Jaxson Hayes,24,56,35,1093,161,223,.722,0,3,.000,161,220,.732,.722,61,98,.622,78,191,269,58,31,51,43,136,383,0,,hayesja02
10,Luka Dončić,25,28,28,984,245,559,.438,102,269,.379,143,290,.493,.530,197,249,.791,24,202,226,211,45,12,104,68,789,2,,doncilu01
11,D'Angelo Russell,28,29,10,763,129,311,.415,56,168,.333,73,143,.510,.505,45,53,.849,8,72,80,136,23,4,50,53,359,0,,russeda01
12,Cam Reddish,25,33,8,589,38,94,.404,13,47,.277,25,47,.532,.473,16,26,.615,17,49,66,22,33,10,12,43,105,0,,reddica01
13,Jarred Vanderbilt,25,36,2,581,59,121,.488,9,32,.281,50,89,.562,.525,20,36,.556,68,114,182,41,35,10,29,67,147,0,,vandeja01
14,Jordan Goodwin,26,29,5,543,63,144,.438,26,68,.382,37,76,.487,.528,9,11,.818,38,74,112,42,30,11,26,43,161,0,,goodwjo01
15,Shake Milton,28,30,1,345,42,97,.433,10,34,.294,32,63,.508,.485,22,26,.846,15,38,53,38,10,3,20,24,116,0,,miltosh01
16,Christian Koloko,24,37,0,342,40,66,.606,0,4,.000,40,62,.645,.606,10,14,.714,35,57,92,16,8,16,12,44,90,0,,kolokch01
17,Trey Jemison,25,22,0,226,26,42,.619,0,0,,26,42,.619,.619,5,12,.417,22,39,61,6,2,9,14,42,57,0,,jemistr01
18,Bronny James,20,27,1,181,21,67,.313,9,32,.281,12,35,.343,.381,11,14,.786,4,14,18,22,9,3,13,13,62,0,,jamesbr02
19,Markieff Morris,35,8,2,124,16,48,.333,7,23,.304,9,25,.360,.406,5,6,.833,3,12,15,17,1,2,3,14,44,0,,morrima02
20,Alex Len,31,10,4,122,10,22,.455,1,3,.333,9,19,.474,.477,1,4,.250,13,18,31,8,1,3,9,21,22,0,,lenal01
21,Armel Traoré,22,9,0,67,6,19,.316,0,7,.000,6,12,.500,.316,2,7,.286,2,13,15,1,4,2,3,6,14,0,,armeltr01
22,Maxwell Lewis,22,7,0,29,2,6,.333,0,0,,2,6,.333,.333,0,0,,2,0,2,2,1,0,2,1,4,0,,lewisma05
23,Jalen Hood-Schifino,21,2,0,14,1,1,1.000,0,0,,1,1,1.000,1.000,2,2,1.000,1,0,1,1,0,1,1,3,4,0,,hoodsja01
24,Quincy Olivari,23,2,0,10,1,5,.200,1,5,.200,0,0,,.300,0,0,,0,0,0,1,0,0,1,0,3,0,,olivaqu01
,Team Totals,,82,82,19730,3356,7007,.479,1092,2981,.366,2264,4026,.562,.557,1494,1902,.785,792,2687,3479,2131,633,367,1076,1415,9298,13,,-9999
