Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Anthony Edwards,23,79,79,2871,721,1612,.447,320,811,.395,401,801,.501,.547,415,496,.837,61,389,450,359,91,51,249,150,2177,0,MVP-7CPOY-3ASNBA2,edwaran01
2,Jaden McDaniels,24,82,82,2614,398,834,.477,100,303,.330,298,531,.561,.537,104,128,.813,129,341,470,163,110,74,95,225,1000,0,,mcdanja02
3,Rudy Gobert,32,72,72,2388,341,510,.669,0,0,,341,510,.669,.669,184,273,.674,265,520,785,127,56,104,89,182,866,0,DPOY-13DEF2,goberru01
4,Julius Randle,30,69,69,2226,455,939,.485,108,314,.344,347,625,.555,.542,270,335,.806,144,343,487,323,47,16,196,175,1288,0,,randlju01
5,Naz Reid,25,80,17,2200,426,923,.462,175,462,.379,251,461,.544,.556,111,143,.776,92,388,480,181,58,72,108,189,1138,0,6MOY-5,reidna01
6,Nickeil Alexander-Walker,26,82,10,2073,270,616,.438,141,370,.381,129,246,.524,.553,92,118,.780,54,211,265,223,50,34,99,139,773,0,6MOY-6,alexani01
7,Mike Conley,37,71,64,1756,187,468,.400,127,310,.410,60,158,.380,.535,81,90,.900,32,150,182,319,79,14,75,111,582,0,,conlemi01
8,Donte DiVincenzo,28,62,10,1606,250,593,.422,174,438,.397,76,155,.490,.568,49,63,.778,32,196,228,225,73,17,99,114,723,0,,divindo01
9,Jaylen Clark,23,40,4,522,56,120,.467,22,51,.431,34,69,.493,.558,29,37,.784,26,27,53,26,36,2,8,61,163,0,,clarkja02
10,Rob Dillingham,20,49,1,516,93,211,.441,25,74,.338,68,137,.496,.500,8,15,.533,12,38,50,98,20,1,53,37,219,0,,dilliro01
11,Terrence Shannon Jr.,24,32,1,339,55,114,.482,11,31,.355,44,83,.530,.531,17,21,.810,10,37,47,32,7,5,15,27,138,0,,shannte01
12,Josh Minott,22,46,0,276,44,90,.489,14,43,.326,30,47,.638,.567,17,19,.895,12,35,47,18,15,12,11,34,119,0,,minotjo01
13,Luka Garza,26,39,0,219,52,105,.495,10,36,.278,42,69,.609,.543,24,35,.686,31,23,54,11,6,3,12,29,138,0,,garzalu01
14,Joe Ingles,37,19,1,114,6,23,.261,3,15,.200,3,8,.375,.326,0,0,,2,9,11,23,2,0,9,12,15,0,,inglejo01
15,PJ Dozier,28,9,0,35,2,3,.667,2,3,.667,0,0,,1.000,1,6,.167,1,4,5,5,1,0,1,3,7,0,,doziepj01
16,Leonard Miller,21,13,0,32,6,15,.400,0,5,.000,6,10,.600,.400,8,8,1.000,3,8,11,0,2,1,2,2,20,0,,millele01
17,Bones Hyland,24,4,0,17,2,3,.667,1,2,.500,1,1,1.000,.833,0,0,,0,1,1,4,0,0,1,3,5,0,,hylanbo01
18,Daishen Nix,22,3,0,13,0,1,.000,0,1,.000,0,0,,.000,1,2,.500,0,4,4,3,0,0,4,1,1,0,,nixda01
19,Tristen Newton,23,3,0,8,0,2,.000,0,0,,0,2,.000,.000,0,0,,2,2,4,1,1,0,1,2,0,0,,newtotr01
20,Jesse Edwards,24,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,2,0,0,,edwarje01
,Team Totals,,82,82,19830,3364,7182,.468,1233,3269,.377,2131,3913,.545,.554,1411,1789,.789,908,2726,3634,2142,654,406,1127,1498,9372,0,,-9999
