Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Mikal Bridges,28,82,82,3036,592,1183,.500,164,463,.354,428,720,.594,.570,96,118,.814,71,188,259,306,75,43,132,127,1444,0,,bridgmi01
2,Josh Hart,29,77,77,2897,404,770,.525,84,252,.333,320,518,.618,.579,159,205,.776,161,576,737,453,119,27,158,201,1051,9,,hartjo01
3,OG Anunoby,27,74,74,2706,489,1027,.476,171,460,.372,318,567,.561,.559,183,226,.810,97,261,358,164,110,65,102,172,1332,0,,anunoog01
4,Karl-Anthony Towns,29,72,72,2517,639,1215,.526,142,338,.420,497,877,.567,.584,339,409,.829,212,708,920,222,71,50,192,249,1759,1,ASNBA3,townska01
5,Jalen Brunson,28,65,65,2301,585,1200,.488,152,397,.383,433,803,.539,.551,368,448,.821,27,160,187,475,60,8,164,138,1690,0,MVP-10CPOY-1ASNBA2,brunsja01
6,Miles McBride,24,64,10,1593,222,547,.406,115,312,.369,107,235,.455,.511,52,64,.813,47,114,161,187,67,17,41,108,611,0,,mcbrimi01
7,Precious Achiuwa,25,57,10,1170,164,327,.502,10,36,.278,154,291,.529,.517,41,69,.594,101,216,317,55,47,42,45,81,379,0,,achiupr01
8,Cameron Payne,30,72,5,1090,179,446,.401,93,256,.363,86,190,.453,.506,49,54,.907,14,90,104,203,39,16,52,111,500,0,,payneca01
9,Landry Shamet,27,50,0,762,106,230,.461,62,156,.397,44,74,.595,.596,12,18,.667,11,50,61,27,23,2,22,52,286,0,,shamela01
10,Jericho Sims,26,39,5,422,28,46,.609,0,0,,28,46,.609,.609,8,13,.615,51,78,129,22,8,10,21,46,64,0,,simsje01
11,Tyler Kolek,23,41,0,296,27,82,.329,14,47,.298,13,35,.371,.415,13,17,.765,8,19,27,70,12,4,18,26,81,0,,kolekty01
12,Mitchell Robinson,26,17,3,290,37,56,.661,0,0,,37,56,.661,.661,13,19,.684,52,49,101,13,16,18,10,26,87,0,,robinmi01
13,Delon Wright,32,14,5,230,23,49,.469,8,24,.333,15,25,.600,.551,6,9,.667,12,8,20,29,12,3,8,8,60,0,,wrighde01
14,Ariel Hukporti,22,25,1,217,21,31,.677,0,0,,21,31,.677,.677,6,13,.462,14,37,51,11,1,15,21,32,48,0,,hukpoar01
15,Pacome Dadiet,19,18,0,111,10,31,.323,6,19,.316,4,12,.333,.419,4,6,.667,3,15,18,5,3,2,4,7,30,0,,dadiepa01
16,Matt Ryan,27,19,0,68,10,31,.323,6,19,.316,4,12,.333,.419,2,2,1.000,0,8,8,3,2,0,3,1,28,0,,ryanma01
17,P.J. Tucker,39,3,1,58,3,7,.429,3,6,.500,0,1,.000,.643,0,0,,4,4,8,0,1,1,1,8,9,0,,tuckepj01
18,Jacob Toppin,24,16,0,49,3,10,.300,0,2,.000,3,8,.375,.300,0,0,,2,9,11,4,2,0,2,3,6,0,,toppija01
19,Kevin McCullar Jr.,23,4,0,29,2,7,.286,0,1,.000,2,6,.333,.286,2,2,1.000,0,8,8,2,1,1,0,6,6,0,,mcculke01
20,Anton Watson,24,9,0,22,4,9,.444,0,1,.000,4,8,.500,.444,0,0,,1,2,3,2,1,0,2,3,8,0,,watsoan02
21,MarJon Beauchamp,24,6,0,17,5,11,.455,1,5,.200,4,6,.667,.500,4,4,1.000,2,7,9,1,1,0,1,2,15,0,,beaucma01
,Team Totals,,82,82,19881,3553,7315,.486,1031,2794,.369,2522,4521,.558,.556,1357,1696,.800,890,2607,3497,2254,671,324,999,1407,9494,10,,-9999
