Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Kentavious Caldwell-Pope,31,77,77,2279,239,544,.439,113,330,.342,126,214,.589,.543,82,95,.863,33,136,169,136,99,34,62,136,673,0,,caldwke01
2,Franz Wagner,23,60,60,2023,537,1161,.463,104,352,.295,433,809,.535,.507,271,311,.871,56,286,342,284,75,21,138,147,1449,0,,wagnefr01
3,Anthony Black,21,78,10,1887,262,620,.423,62,195,.318,200,425,.471,.473,150,197,.761,52,178,230,240,86,48,139,166,736,0,,blackan01
4,Wendell Carter Jr.,25,68,51,1758,226,491,.460,37,158,.234,189,333,.568,.498,129,175,.737,151,341,492,134,52,41,77,199,618,0,,cartewe01
5,Tristan Da Silva,23,74,38,1629,199,483,.412,80,239,.335,119,244,.488,.495,55,63,.873,73,172,245,113,33,18,56,94,533,0,,dasiltr01
6,Paolo Banchero,22,46,46,1582,412,911,.452,87,272,.320,325,639,.509,.500,280,385,.727,51,294,345,219,36,28,136,97,1191,0,,banchpa01
7,Goga Bitadze,25,70,42,1430,207,339,.611,3,28,.107,204,311,.656,.615,85,133,.639,167,296,463,137,49,98,72,150,502,0,,bitadgo01
8,Cole Anthony,24,67,22,1234,230,543,.424,77,218,.353,153,325,.471,.494,93,113,.823,46,158,204,191,45,32,103,151,630,0,,anthoco01
9,Jonathan Isaac,27,71,1,1090,134,324,.414,39,151,.258,95,173,.549,.474,73,107,.682,120,194,314,40,61,80,33,90,380,0,,isaacjo01
10,Jalen Suggs,23,35,35,1002,197,481,.410,76,242,.314,121,239,.506,.489,97,110,.882,23,118,141,129,51,33,102,98,567,0,,suggsja01
11,Caleb Houstan,22,58,6,788,80,190,.421,64,160,.400,16,30,.533,.589,15,17,.882,19,56,75,35,22,6,13,62,239,0,,houstca01
12,Gary Harris,30,48,3,711,51,133,.383,36,101,.356,15,32,.469,.519,7,12,.583,20,44,64,30,26,12,17,45,145,0,,harriga01
13,Jett Howard,21,60,0,701,98,262,.374,55,186,.296,43,76,.566,.479,16,23,.696,20,50,70,44,13,11,36,68,267,0,,howarje01
14,Cory Joseph,33,50,16,612,62,154,.403,39,107,.364,23,47,.489,.529,14,18,.778,17,57,74,72,26,4,18,50,177,0,,josepco01
15,Moritz Wagner,27,30,1,564,140,249,.562,27,75,.360,113,174,.649,.616,79,110,.718,40,108,148,42,24,12,49,55,386,0,,wagnemo01
16,Trevelin Queen,27,31,2,430,56,147,.381,22,77,.286,34,70,.486,.456,18,21,.857,26,28,54,38,31,10,22,38,152,0,,queentr01
17,Mac McClung,26,2,0,10,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,3,0,0,0,2,0,0,,mccluma01
,Team Totals,,82,82,19730,3130,7034,.445,921,2892,.318,2209,4142,.533,.510,1464,1890,.775,914,2517,3431,1887,729,488,1073,1648,8645,0,,-9999
