Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,DeMar DeRozan,35,77,77,2768,624,1308,.477,84,256,.328,540,1052,.513,.509,378,441,.857,50,248,298,342,62,32,105,150,1710,0,,derozde01
2,Keegan Murray,24,76,76,2610,364,820,.444,154,449,.343,210,371,.566,.538,60,72,.833,146,361,507,109,61,69,60,186,942,0,,murrake02
3,Domantas Sabonis,28,70,70,2429,527,893,.590,65,156,.417,462,737,.627,.627,218,289,.754,267,705,972,423,48,26,202,229,1337,10,,sabondo01
4,Malik Monk,26,65,45,2054,412,939,.439,139,428,.325,273,511,.534,.513,154,178,.865,30,215,245,362,61,38,159,158,1117,0,,monkma01
5,Keon Ellis,25,80,28,1948,227,464,.489,139,321,.433,88,143,.615,.639,73,86,.849,60,152,212,120,121,63,71,176,666,0,,elliske01
6,De'Aaron Fox,27,45,45,1663,414,883,.469,92,286,.322,322,597,.539,.521,204,246,.829,45,180,225,276,66,20,133,118,1124,0,,foxde01
7,Trey Lyles,29,69,5,1349,157,374,.420,81,238,.340,76,136,.559,.528,56,80,.700,80,236,316,82,41,23,39,86,451,0,,lylestr01
8,Zach LaVine,29,32,32,1170,262,513,.511,103,231,.446,159,282,.564,.611,90,103,.874,10,103,113,121,19,2,87,57,717,0,,lavinza01
9,Kevin Huerter,26,43,15,899,128,310,.413,62,205,.302,66,105,.629,.513,20,28,.714,19,101,120,74,36,16,37,70,338,0,,huertke01
10,Jonas Valančiūnas,32,32,9,541,114,205,.556,1,10,.100,113,195,.579,.559,50,59,.847,70,153,223,56,15,18,32,84,279,0,,valanjo01
11,Devin Carter,22,36,0,396,47,127,.370,18,61,.295,29,66,.439,.441,26,44,.591,19,57,76,41,21,4,18,39,138,0,,cartede02
12,Jake LaRavia,23,19,0,367,42,96,.438,20,52,.385,22,44,.500,.542,11,19,.579,23,31,54,25,18,3,17,40,115,0,,laravja01
13,Doug McDermott,33,42,3,342,50,117,.427,44,101,.436,6,16,.375,.615,3,5,.600,3,19,22,7,4,2,6,30,147,0,,mcderdo01
14,Isaac Jones,24,40,0,304,54,83,.651,3,8,.375,51,75,.680,.669,23,36,.639,22,35,57,12,5,10,16,30,134,0,,jonesis01
15,Alex Len,31,36,3,258,22,41,.537,1,6,.167,21,35,.600,.549,7,13,.538,25,39,64,30,8,18,11,35,52,0,,lenal01
16,Jordan McLaughlin,28,28,0,190,16,44,.364,10,26,.385,6,18,.333,.477,11,16,.688,4,17,21,24,11,0,11,13,53,0,,mclaujo01
17,Markelle Fultz,26,21,0,184,28,67,.418,4,8,.500,24,59,.407,.448,1,1,1.000,6,14,20,27,10,2,15,12,61,0,,fultzma01
18,Colby Jones,22,24,0,130,11,26,.423,4,10,.400,7,16,.438,.500,0,0,,8,15,23,7,6,7,7,13,26,0,,jonesco02
19,Jae Crowder,34,9,2,103,7,22,.318,4,15,.267,3,7,.429,.409,5,6,.833,6,14,20,6,3,0,4,10,23,0,,crowdja01
20,Orlando Robinson,24,9,0,57,7,17,.412,1,5,.200,6,12,.500,.441,4,7,.571,3,11,14,9,3,1,4,6,19,0,,robinor01
21,Isaiah Crawford,23,15,0,46,5,11,.455,1,5,.200,4,6,.667,.500,2,4,.500,1,7,8,1,1,2,1,2,13,0,,crawfis01
22,Mason Jones,26,10,0,45,9,18,.500,1,8,.125,8,10,.800,.528,4,5,.800,2,7,9,11,0,1,1,3,23,0,,jonesma05
23,Skal Labissière,28,4,0,12,2,4,.500,1,1,1.000,1,3,.333,.625,0,0,,1,2,3,1,0,0,0,1,5,0,,labissk01
24,Terence Davis,27,1,0,8,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,1,0,0,0,0,0,0,,daviste02
25,Terry Taylor,25,3,0,6,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,0,1,2,0,0,0,0,0,0,,taylote01
,Team Totals,,82,82,19879,3529,7385,.478,1032,2887,.357,2497,4498,.555,.548,1400,1738,.806,901,2723,3624,2169,620,357,1036,1548,9490,10,,-9999
