Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Chris Paul,39,82,82,2292,249,583,.427,140,371,.377,109,212,.514,.547,85,92,.924,33,263,296,605,103,22,129,151,723,0,,paulch01
2,Harrison Barnes,32,82,82,2230,347,683,.508,156,360,.433,191,323,.591,.622,161,199,.809,97,213,310,136,39,14,50,75,1011,0,,barneha02
3,Stephon Castle,20,81,47,2162,423,988,.428,95,333,.285,328,655,.501,.476,249,344,.724,89,208,297,332,74,22,177,164,1190,0,ROY-1,castlst01
4,Devin Vassell,24,64,53,1983,394,889,.443,158,429,.368,236,460,.513,.532,95,120,.792,34,221,255,183,84,33,88,108,1041,0,,vassede01
5,Julian Champagnie,23,82,29,1932,276,665,.415,178,480,.371,98,185,.530,.549,85,94,.904,67,251,318,111,61,35,74,114,815,0,,champju02
6,Keldon Johnson,25,77,0,1838,371,770,.482,87,274,.318,284,496,.573,.538,150,194,.773,112,259,371,125,49,22,77,115,979,0,,johnske04
7,Victor Wembanyama,21,46,46,1527,408,857,.476,142,403,.352,266,454,.586,.559,158,189,.836,82,424,506,168,52,176,149,105,1116,1,AS,wembavi01
8,Jeremy Sochan,21,54,23,1364,251,469,.535,28,91,.308,223,378,.590,.565,87,125,.696,127,225,352,128,45,27,84,131,617,0,,sochaje01
9,Blake Wesley,21,58,0,683,81,186,.435,17,58,.293,64,128,.500,.481,38,61,.623,17,44,61,114,37,6,54,46,217,0,,weslebl01
10,Sandro Mamukelashvili,25,61,0,681,141,281,.502,60,161,.373,81,120,.675,.609,43,58,.741,62,125,187,48,22,17,26,60,385,0,,mamuksa01
11,De'Aaron Fox,27,17,17,578,125,280,.446,26,95,.274,99,185,.535,.493,59,72,.819,9,64,73,116,25,5,41,46,335,0,,foxde01
12,Bismack Biyombo,32,28,26,528,67,114,.588,0,0,,67,114,.588,.588,10,25,.400,43,115,158,31,16,23,27,52,144,0,,biyombi01
13,Tre Jones,25,28,0,450,45,93,.484,8,26,.308,37,67,.552,.527,25,33,.758,15,43,58,104,18,5,21,33,123,0,,jonestr01
14,Malaki Branham,21,47,0,427,87,190,.458,34,84,.405,53,106,.500,.547,27,33,.818,7,44,51,38,11,2,34,29,235,0,,branhma01
15,Zach Collins,27,36,4,425,61,132,.462,14,46,.304,47,86,.547,.515,31,35,.886,38,63,101,52,14,15,23,70,167,0,,colliza01
16,Charles Bassey,24,36,1,376,68,117,.581,0,0,,68,117,.581,.581,21,33,.636,56,96,152,17,14,30,23,50,157,0,,bassech01
17,Jordan McLaughlin,28,18,0,124,15,28,.536,9,20,.450,6,8,.750,.696,6,6,1.000,2,7,9,27,5,1,5,5,45,0,,mclaujo01
18,Sidy Cissoko,20,17,0,54,9,18,.500,3,7,.429,6,11,.545,.583,1,6,.167,3,7,10,6,1,0,2,6,22,0,,cissosi01
19,Harrison Ingram,22,5,0,35,2,4,.500,0,1,.000,2,3,.667,.500,0,0,,2,7,9,3,3,0,1,2,4,0,,ingraha01
20,David Duke Jr.,25,6,0,34,6,14,.429,3,6,.500,3,8,.375,.536,1,2,.500,1,4,5,4,1,0,2,1,16,0,,dukeda01
21,Riley Minix,24,1,0,7,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,2,2,0,0,0,0,0,0,0,,minixri01
,Team Totals,,82,82,19730,3426,7362,.465,1158,3246,.357,2268,4116,.551,.544,1332,1721,.774,896,2685,3581,2348,674,455,1087,1363,9342,1,,-9999
