Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Scottie Barnes,23,65,65,2134,474,1063,.446,76,280,.271,398,783,.508,.482,228,302,.755,109,393,502,378,93,63,185,113,1252,1,,barnesc01
2,RJ Barrett,24,58,58,1869,460,982,.468,107,306,.350,353,676,.522,.523,196,311,.630,61,305,366,314,46,17,165,137,1223,2,,barrerj01
3,Ochai Agbaji,24,64,45,1739,266,534,.498,101,253,.399,165,281,.587,.593,34,48,.708,61,181,242,98,58,30,54,125,667,0,,agbajoc01
4,Jakob Poeltl,29,57,56,1686,363,579,.627,1,3,.333,362,576,.628,.628,97,144,.674,189,358,547,158,66,71,111,176,824,0,,poeltja01
5,Gradey Dick,21,54,54,1587,265,647,.410,114,326,.350,151,321,.470,.498,133,155,.858,44,149,193,98,48,10,83,120,777,0,,dickgr01
6,Jamal Shead,22,75,11,1467,204,504,.405,72,223,.323,132,281,.470,.476,53,69,.768,30,85,115,316,58,10,117,158,533,0,,sheadja01
7,Jonathan Mogbo,23,63,18,1286,156,356,.438,17,70,.243,139,286,.486,.462,60,82,.732,109,202,311,146,55,34,70,136,389,1,,mogbojo01
8,Ja'Kobe Walter,20,52,18,1103,159,393,.405,65,186,.349,94,207,.454,.487,66,83,.795,59,101,160,81,43,10,50,95,449,0,,walteja01
9,Davion Mitchell,26,44,22,1080,106,244,.434,42,117,.359,64,127,.504,.520,25,37,.676,16,69,85,203,31,8,78,116,279,0,,mitchda01
10,Jamison Battle,23,59,10,1042,149,347,.429,105,259,.405,44,88,.500,.581,16,18,.889,37,121,158,53,17,10,27,92,419,0,,battlja01
11,Immanuel Quickley,25,33,33,918,184,438,.420,85,225,.378,99,213,.465,.517,111,128,.867,16,101,117,191,23,4,58,61,564,0,,quickim01
12,Chris Boucher,32,50,0,862,182,370,.492,70,193,.363,112,177,.633,.586,68,87,.782,70,154,224,33,24,25,29,68,502,0,,bouchch01
13,Orlando Robinson,24,35,8,713,109,244,.447,16,47,.340,93,197,.472,.480,50,63,.794,86,120,206,68,14,15,45,94,284,0,,robinor01
14,A.J. Lawson,24,26,2,486,80,190,.421,33,101,.327,47,89,.528,.508,43,63,.683,20,66,86,31,13,6,15,44,236,0,,lawsoaj01
15,Kelly Olynyk,33,24,2,383,59,118,.500,19,43,.442,40,75,.533,.581,34,43,.791,25,64,89,56,16,8,35,59,171,0,,olynyke01
16,Bruce Brown,28,18,0,353,57,131,.435,11,36,.306,46,95,.484,.477,26,29,.897,17,51,68,28,17,3,19,26,151,0,,brownbr01
17,Colin Castleton,24,11,4,288,32,64,.500,2,8,.250,30,56,.536,.516,13,18,.722,34,42,76,18,6,8,21,32,79,0,,castlco01
18,Garrett Temple,38,28,0,227,18,60,.300,6,28,.214,12,32,.375,.350,11,12,.917,9,20,29,31,17,2,10,23,53,0,,templga01
19,Jared Rhoden,25,10,2,215,40,79,.506,12,37,.324,28,42,.667,.582,22,25,.880,12,26,38,14,9,2,8,19,114,0,,rhodeja01
20,Cole Swider,25,8,0,156,22,58,.379,15,42,.357,7,16,.438,.509,0,1,.000,5,20,25,2,4,2,4,11,59,0,,swideco01
21,Bruno Fernando,26,17,2,147,26,49,.531,0,0,,26,49,.531,.531,6,8,.750,21,30,51,18,4,9,14,27,58,0,,fernabr01
22,D.J. Carton,24,4,0,33,1,7,.143,0,3,.000,1,4,.250,.143,1,1,1.000,0,4,4,3,2,0,4,1,3,0,,cartodj01
23,Ulrich Chomche,19,7,0,32,2,5,.400,0,0,,2,5,.400,.400,1,2,.500,4,4,8,2,0,1,2,5,5,0,,chomcul01
,Team Totals,,82,82,19806,3414,7462,.458,969,2786,.348,2445,4676,.523,.522,1294,1729,.748,1034,2666,3700,2340,664,348,1204,1738,9091,4,,-9999
