Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Keyonte George,21,67,35,2109,359,919,.391,174,507,.343,185,412,.449,.485,233,285,.818,26,227,253,377,46,9,183,111,1125,0,,georgke01
2,Isaiah Collier,20,71,46,1839,234,555,.422,42,169,.249,192,386,.497,.459,105,154,.682,32,203,235,446,66,16,208,149,615,0,,colliis01
3,Collin Sexton,26,63,61,1758,416,867,.480,110,271,.406,306,596,.513,.543,217,251,.865,60,111,171,264,47,6,160,144,1159,0,,sextoco01
4,Walker Kessler,23,58,58,1740,278,419,.663,6,34,.176,272,385,.706,.671,79,152,.520,266,441,707,97,36,138,86,130,641,0,,kesslwa01
5,Kyle Filipowski,21,72,27,1522,260,518,.502,77,220,.350,183,298,.614,.576,93,143,.650,112,328,440,140,48,22,102,171,690,0,,filipky01
6,Lauri Markkanen,27,47,47,1476,296,700,.423,138,399,.346,158,301,.525,.521,162,185,.876,72,206,278,70,33,17,66,79,892,0,,markkla01
7,Brice Sensabaugh,21,71,15,1432,275,599,.459,157,372,.422,118,227,.520,.590,65,73,.890,42,168,210,110,46,8,107,111,772,0,,sensabr01
8,Johnny Juzang,23,64,18,1270,204,475,.429,118,314,.376,86,161,.534,.554,45,53,.849,42,142,184,68,39,8,36,126,571,0,,juzanjo01
9,John Collins,27,40,31,1220,280,531,.527,59,148,.399,221,383,.577,.583,139,164,.848,89,238,327,80,39,40,103,116,758,0,,collijo01
10,Cody Williams,20,50,21,1060,83,257,.323,35,135,.259,48,122,.393,.391,29,40,.725,27,86,113,59,23,16,44,95,230,0,,willico04
11,Jordan Clarkson,32,37,9,962,201,493,.408,84,232,.362,117,261,.448,.493,114,143,.797,25,93,118,138,31,9,86,52,600,0,,clarkjo01
12,Svi Mykhailiuk,27,38,13,760,118,302,.391,70,203,.345,48,99,.485,.507,28,35,.800,22,68,90,76,19,7,52,43,334,0,,mykhasv01
13,Micah Potter,26,38,10,705,57,135,.422,31,98,.316,26,37,.703,.537,17,20,.850,43,121,164,31,14,14,31,50,162,0,,pottemi01
14,Drew Eubanks,27,37,4,568,88,145,.607,3,5,.600,85,140,.607,.617,36,57,.632,40,128,168,45,10,32,31,46,215,0,,eubandr01
15,KJ Martin,24,19,9,432,50,102,.490,7,37,.189,43,65,.662,.525,13,18,.722,9,44,53,29,6,6,12,39,120,0,,martike04
16,Patty Mills,36,17,0,260,26,76,.342,17,57,.298,9,19,.474,.454,5,5,1.000,3,18,21,21,12,3,16,12,74,0,,millspa02
17,Oscar Tshiebwe,25,14,1,255,42,70,.600,0,0,,42,70,.600,.600,23,31,.742,46,76,122,9,13,1,10,24,107,0,,tshieos01
18,Jaden Springer,22,17,2,224,23,56,.411,6,29,.207,17,27,.630,.464,12,17,.706,13,21,34,23,12,3,12,25,64,0,,sprinja01
19,Elijah Harkless,24,10,0,138,11,35,.314,7,25,.280,4,10,.400,.414,3,6,.500,9,12,21,8,10,1,3,18,32,0,,harklej01
20,Taylor Hendricks,21,3,3,75,4,18,.222,3,12,.250,1,6,.167,.306,3,4,.750,5,10,15,2,5,4,2,8,14,0,,hendrta01
,Team Totals,,82,82,19805,3305,7272,.454,1144,3267,.350,2161,4005,.540,.533,1421,1836,.774,983,2741,3724,2093,555,360,1350,1549,9175,0,,-9999
