Player,Notes
Trae Young,"2025 Early Termination Option, 15% trade kicker."
,"Signed 5-yr/$215M extension August 6, 2021."
Kristaps Porzi__is,"Traded from BOS to ATL July 7, 2025."
,"Signed 2-yr/$60M contract extension July 12, 2023."
Jalen Johnson,"Signed 5-yr/$150M contract extension October 21, 2024."
Onyeka Okongwu,"Signed 4-yr/$62M contract extension October 23, 2023."
Zaccharie Risacher,2026-27 and 2027-28 are team options.
,"Signed rookie scale contract on July 6, 2024."
Dyson Daniels,"Option exercised October 30, 2024."
,"Traded from NOP to ATL July 6, 2024."
,"Option exercised October 19, 2023."
,2024-25 and 2025-26 are team options.
,"Signed rookie scale contract on July 8, 2022."
Kobe Bufkin,"Option exercised October 30, 2024."
,2025-26 and 2026-27 are team options.
,"Signed rookie scale contract on July 3, 2023."
Asa Newell,2027-28 and 2028-29 are team options.
,"Signed rookie scale contract on July 3, 2025."
Vit Krejci,2027-28 is a team option.
,"Signed 4-yr/$10.2M contract July 12, 2024."
Mouhamed Gueye,2026-27 is a team option.
,2025-26 is not guaranteed.
,"Signed 4-yr/$7.6M contract July 3, 2023."
Eli Ndiaye,"Signed two-way contract July 3, 2025."
Nickeil Alexander-Walker,"Signed 4-yr/$62M contract July 6, 2025 with MIN and immediately traded to ATL."
Luke Kennard,"Signed 1-yr/$11M contract July 8, 2025."
Nikola Djurisic,2026-27 and 2027-28 are not guaranteed.
,"Signed 3-yr/$6M contract July 11, 2025."
Jacob Toppin,"Signed two-way contract July 10, 2025."
Keaton Wallace,"Signed two-way contract July 18, 2025."
David Roddy,"Waived July 6, 2025."
,"Traded from HOU to ATL July 6, 2025."
,"Signed two-way contract March 3, 2025."
Player,Notes
Jayson Tatum,2029-30 is a player option.
,"Signed 5-yr/$314M contract extension July 6, 2024."
Jaylen Brown,"Signed 5-yr/$304M contract extension July 26, 2023."
Derrick White,2028-29 is a player option.
,"Signed 4-yr/$118M contract July 6, 2024."
Anfernee Simons,"Traded from POR to BOS July 7, 2025."
,"Signed 4-yr/$100M contract July 6, 2022."
Sam Hauser,"Signed 4-yr/$45M contract extension July 23, 2024."
Georges Niang,"Traded from ATL to BOS July 7, 2025."
,"Traded from CLE to ATL February 6, 2025."
,"Signed 3-yr/$26M contract July 6, 2023."
Payton Pritchard,"Signed 4-yr/$30M rookie scale extension October 10, 2023."
Hugo González,2027-28 and 2028-29 are team options.
,"Signed rookie scale contract on July 1, 2025."
Baylor Scheierman,2026-27 and 2027-28 are team options.
,"Signed rookie scale contract on July 6, 2024."
Xavier Tillman Sr.,"Signed 2-yr/$4.8M contract July 2, 2024."
Neemias Queta,"Signed 3-yr/$7M contract July 6, 2024 /2025-26 and 2026-27 are partially guaranteed."
Jordan Walsh,2026-27 is a team option.
,2025-26 is partially guaranteed.
,"Signed 4-yr/$7.6M contract July 6, 2023."
Luka Garza,"Signed 2-yr/$5M contract July 7, 2025."
Josh Minott,2026-27 is a team option.
,"Signed 2-yr/$5M contract July 7, 2025."
Miles Norris,"Signed two-way contract March 4, 2025."
Hayden Gray,"Signed Exhibit 10 contract July 20, 2025."
JD Davison,"Waived July 24, 2025."
,"Option exercised June 29, 2025."
,2025-26 is a team option.
,"Signed for remainder of season April 13, 2025."
Player,Notes
Michael Porter Jr.,"Traded from DEN to BRK July 8, 2025."
,2026-27 is partially guaranteed.
,"Signed 5-yr/$179.3M rookie scale extension September 29, 2021."
Nic Claxton,"Signed 4-yr/$97M contract July 6, 2024."
Terance Mann,"Traded from ATL to BRK July 7, 2025."
,"Signed 3-yr/$47M contract extension October 1, 2024."
Egor Demin,2027-28 and 2028-29 are team options.
,"Signed rookie scale contract on July 3, 2025."
Nolan Traoré,2027-28 and 2028-29 are team options.
,"Signed rookie scale contract on July 4, 2025."
Noah Clowney,"Option exercised October 28, 2024."
,2025-26 and 2026-27 are team options.
,"Signed 4-yr/$15M rookie scale contract July 11, 2023."
Drake Powell,2027-28 and 2028-29 are team options.
,"Signed rookie scale contract on July 8, 2025."
Dariq Whitehead,"Option exercised October 28, 2024."
,2025-26 and 2026-27 are team options.
,"Signed 4-yr/$15M rookie scale contract July 10, 2023."
Ben Saraf,2027-28 and 2028-29 are team options.
,"Signed rookie scale contract on July 3, 2025."
Danny Wolf,2027-28 and 2028-29 are team options.
,"Signed rookie scale contract on July 3, 2025."
Keon Johnson,"Team option exercised June 28, 2025."
,"Signed 2-yr/$4.5M contract July 21, 2024."
Jalen Wilson,"Option exercised June 28, 2025."
,2025-26 is a team option.
,2024-25 is partially guaranteed.
,"Signed 3-year minimum contract March 1, 2024."
Tyrese Martin,"Option exercised June 28, 2025."
,2025-26 is a team option.
,"Signed 2-yr/$2.8M contract February 20, 2025."
Drew Timme,"Option exercised June 28, 2025."
,2025-26 is a team option.
,"Signed 2-year minimum contract March 28, 2025."
Tyson Etienne,"Signed two-way contract July 3, 2025."
Tosan Evbuomwan,"Signed two-way contract January 1, 2025."
Player,Notes
Nikola Vu_evi_,"Signed 3-yr/$60M contract extension June 28, 2023."
Zach Collins,"Traded from SAS to CHI February 3, 2025."
,"Signed 2-yr/$35M contract extension October 23, 2023."
Patrick Williams,2028-29 is a player option.
,"Signed 5-yr/$90M contract July 6, 2024."
Kevin Huerter,"Traded from SAC to CHI February 3, 2025."
,"Traded from ATL to SAC July 6, 2022."
