id,name,team,Salary,Salary.1,Salary.2,Salary.3,Salary.4,Salary.5,Unnamed: 9,-additional,Note
1,Stephen Curry,GSW,$59606817,$62587158,,,,,$122193975,curryst01,"['Signed extension August 29, 2024', 'Signed 4-yr/$215M extension August 6, 2021']"
2,Joel Embiid,PHI,$55224526,$57985752,$62624612,$67263472,,,$175834890,embiijo01,"['Player option voided and extension signed September 19, 2024', '2026-27 is a player option', 'Signed 4-yr/$208', '5M extension contract August 17, 2021']"
3,Nikola Jokić,DEN,$55224526,$59033114,$62841702,,,,$114257640,jokicni01,"['2027-28 is a player option', 'Signed 5-yr/$270M extension July 8, 2022']"
4,Kevin Durant,HOU,$54708609,,,,,,$54708609,duranke01,"['Traded from PHO to HOU July 6, 2025', 'Traded from BRK to PHO February 9, 2023', 'Signed 4-yr/$194M contract extension August 8, 2021']"
5,Jayson Tatum,BOS,$54126450,$58456566,$62786682,$67116798,$71446914,,$242486496,tatumja01,"['2029-30 is a player option', 'Signed 5-yr/$314M contract extension July 6, 2024']"
6,Giannis Antetokounmpo,MIL,$54126450,$58456566,$62786682,,,,$112583016,antetgi01,"['2027-28 is a player option', 'Signed 3-yr/$177M contract extension October 23, 2023']"
7,Anthony Davis,DAL,$54126450,$58456566,$62786682,,,,$112583016,davisan02,"['2027-28 is a player option', 'Signed 3-yr/$175M contract extension August 6, 2023']"
8,Jimmy Butler,GSW,$54126450,$56832773,,,,,$110959223,butleji01,"['Traded from MIA to GSW February 6, 2025', 'Signed 2-yr/$113M contract extension February 6, 2025', '2025-26 is a player option', 'Signed 3-yr/$146M contract extension August 7, 2021']"
9,Damian Lillard,MIL,$54126450,,,,,,$54126450,lillada01,"['Waived July 6, 2025', 'Traded from POR to MIL September 27, 2023', '2026-27 is a player option', 'Signed 2-yr/$122M contract extension July 9, 2022', '2027-28 is a player option', 'Signed 3-yr/$41M contract July 19, 2025']"
10,Bradley Beal,PHO,$53666270,,,,,,$53666270,bealbr01,"['2026-27 is a player option', 'Signed 2-yr/$11M contract July 18, 2025', 'Waived by PHO July 16, 2025', 'Traded from WAS to PHO June 23, 2023', '2026-27 is a player option', 'Signed 5-yr/$251M contract July 6, 2022']"
11,Jaylen Brown,BOS,$53142264,$57078728,$61015192,$64951656,,,$236187840,brownja02,"['Signed 5-yr/$304M contract extension July 26, 2023']"
12,Devin Booker,PHO,$53142264,$57078728,$61015192,,,,$171236184,bookede01,"['Signed 4-yr/$224M extension July 6, 2022']"
13,Karl-Anthony Towns,NYK,$53142264,$57078728,$61015192,,,,$110220992,townska01,"['Traded from MIN to NYK October 2, 2024', '2027-28 is a player option', 'Signed 4-yr/$224M contract July 7, 2022']"
14,LeBron James,LAL,$52627153,,,,,,$52627153,jamesle01,"['Option exercised June 29, 2025', '2025-26 is a player option', 'Signed 2-yr/$101M contract July 6, 2024']"
15,Paul George,PHI,$51666090,$54126380,$56586670,,,,$105792470,georgpa01,"['2027-28 is a player option', 'Signed 4-yr/$212M contract July 6, 2024']"
16,Kawhi Leonard,LAC,$50000000,$50300000,,,,,$100300000,leonaka01,"['Signed 3-yr/$150M contract extension January 10, 2024']"
17,Zach LaVine,SAC,$47499660,$48967380,,,,,$47499660,lavinza01,"['Traded from CHI to SAC February 3, 2025', '2026-27 is a player option', 'Signed 5-yr/$215M contract July 7, 2022']"
18,Evan Mobley,CLE,$46394100,$50105628,$53817156,$57528684,$51033510,,$258879078,mobleev01,
19,Jamal Murray,DEN,$46394100,$50105628,$53817156,$57528684,,,$207845568,murraja01,"['Signed 4-yr/$208M contract extension September 11, 2024']"
20,Lauri Markkanen,UTA,$46394100,$46113154,$49824681,$53536209,,,$195868144,markkla01,"['Signed 4-yr/$196M contract August 7, 2024']"
21,Donovan Mitchell,CLE,$46394100,$50105628,$53817156,,,,$96499728,mitchdo01,
22,Luka Dončić,LAL,$45999660,$48967380,,,,,$45999660,doncilu01,
23,Trae Young,ATL,$45999660,$48967380,,,,,$45999660,youngtr01,"['2025 Early Termination Option, 15% trade kicker', 'Signed 5-yr/$215M extension August 6, 2021']"
24,Anthony Edwards,MIN,$45550512,$48924624,$52298736,$55672848,,,$202446720,edwaran01,"['Signed 5-yr/$206M contract extension July 8, 2023']"
25,Tyrese Haliburton,IND,$45550512,$48924624,$52298736,$55672848,,,$202446720,halibty01,"['Signed 5-yr/$206M contract extension July 6, 2023']"
26,Pascal Siakam,IND,$45550512,$48924624,$52298736,,,,$146773872,siakapa01,"['Signed 4-yr/$189M contract July 6, 2024']"
27,Domantas Sabonis,SAC,$43636000,$46772000,$49908000,,,,$140316000,sabondo01,"['Signed 4-yr/$195M contract extension July 6, 2023']"
28,OG Anunoby,NYK,$39568966,$42500000,$45431034,$48362068,,,$127500000,anunoog01,"['2028-29 is a player option', 'Signed 5-yr/$212', '5M contract July 6, 2024']"
29,Zion Williamson,NOP,$39446090,$42166510,$44886930,,,,$126499530,willizi01,"['Signed 5-yr/$193M extension July 6, 2022']"
30,Ja Morant,MEM,$39446090,$42166510,$44886930,,,,$126499530,moranja01,"['Signed 5-yr/$193M extension July 6, 2022']"
31,Darius Garland,CLE,$39446090,$42166510,$44886930,,,,$126499530,garlada01,
32,Scottie Barnes,TOR,$38661750,$41754690,$44847630,$47940570,$51033510,,$224238150,barnesc01,"['Signed 5-yr/$224M contract July 8, 2024']"
33,Franz Wagner,ORL,$38661750,$41754690,$44847630,$47940570,$51033510,,$224238150,wagnefr01,"['Signed 5-yr/$224M contract July 6, 2024']"
34,Cade Cunningham,DET,$38661750,$41754690,$44847630,$47940570,$51033510,,$224238150,cunnica01,"['Signed 5-yr/$224M contract extension July 10, 2024']"
35,Shai Gilgeous-Alexander,OKC,$38333050,$40806150,,,,,$79139200,gilgesh01,"['Signed 5-yr/$179M extension August 6, 2021']"
36,Michael Porter Jr.,BRK,$38333050,$40806150,,,,,$50333050,portemi01,"['Traded from DEN to BRK July 8, 2025', '2026-27 is partially guaranteed', 'Signed 5-yr/$179', '3M rookie scale extension September 29, 2021']"
37,Brandon Ingram,TOR,$38095238,$40000000,$41904762,,,,$78095238,ingrabr01,"['2027-28 is a player option', 'Signed 3-yr/$120M contract extension February 12, 2025']"
38,Tyrese Maxey,PHI,$37958760,$40770520,$43582280,$46394040,,,$168705600,maxeyty01,"['Signed 5-yr/$204M contract July 7, 2024']"
39,LaMelo Ball,CHO,$37958760,$40770520,$43582280,$46394040,,,$168705600,ballla01,"['Signed 5-yr/$206M contract extension July 6, 2023']"
40,Bam Adebayo,MIA,$37096620,$48713700,$52610796,$56507892,,,$138421116,adebaba01,"['Signed extension July 6, 2024', 'Signed 5-yr/$163M max extension November 28, 2020']"
41,De'Aaron Fox,SAS,$37096620,,,,,,$37096620,foxde01,"['Traded from SAC to SAS February 3, 2025', 'Signed 5-yr $163M max extension November 24, 2020']"
42,Desmond Bane,ORL,$36725670,$39446090,$42166510,$44886930,,,$163225200,banede01,"['Traded from MEM to ORL June 15, 2025', 'Signed 5-yr/$206M contract extension July 8, 2023']"
43,Deandre Ayton,POR,$35550814,,,,,,$35550814,aytonde01,"['2026-27 is a player option', 'Signed 2-yr/$16', '6M contract July 6, 2025', 'Waived June 29, 2025', 'Traded from PHO to POR September 27, 2023', 'Signed 4-yr/$133M contract July 15, 2022']"
44,Jalen Suggs,ORL,$35000000,$32400000,$29600000,$26800000,$26700000,,$123800000,suggsja01,"['Signed 5-yr/$151M contract extension October 21, 2024']"
45,Rudy Gobert,MIN,$35000000,$36500000,$38000000,,,,$71500000,goberru01,"['Signed 3-yr/$110M contract extension October 24, 2024']"
46,Jaren Jackson Jr.,MEM,$35000000,,,,,,$35000000,jacksja02,"['Renegotiated and signed extension July 13, 2025', 'Signed 1-yr/$105M contract extension October 18, 2021']"
47,Jalen Brunson,NYK,$34944001,$37739521,$40535041,$43330561,,,$113218563,brunsja01,"['2028-29 is a player option', 'Signed 4-yr/$157M contract July 12, 2024']"
48,Alperen Şengün,HOU,$33944954,$35642202,$37339450,$39036697,$39036697,,$145963303,sengual01,
49,Jalen Green,PHO,$33333333,$36000000,$36000000,,,,$69333333,greenja05,"['Traded from HOU to PHO July 6, 2025', '2027-28 is a player option', 'Signed 3-yr/$105M contract extension October 21, 2024']"
