Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Trae Young,26,76,76,2739,566,1376,.411,218,642,.340,348,734,.474,.491,491,561,.875,36,200,236,880,91,12,355,145,1841,0,CPOY-4AS,youngtr01
2,Dyson Daniels,21,76,76,2571,455,923,.493,80,235,.340,375,688,.545,.536,83,140,.593,124,325,449,333,229,55,155,175,1073,0,DPOY-2MIP-1DEF1,daniedy01
3,Onyeka Okongwu,24,74,40,2064,388,684,.567,48,148,.324,340,536,.634,.602,164,216,.759,220,440,660,168,69,68,90,193,988,0,,okongon01
4,Zaccharie Risacher,19,75,73,1843,357,779,.458,122,344,.355,235,435,.540,.537,106,149,.711,86,182,268,92,52,37,92,149,942,0,ROY-2,risacza01
5,Jalen Johnson,23,36,36,1284,271,542,.500,44,141,.312,227,401,.566,.541,94,126,.746,62,297,359,181,56,36,106,67,680,1,,johnsja05
6,Clint Capela,30,55,41,1176,218,390,.559,0,1,.000,218,389,.560,.559,52,97,.536,174,295,469,62,34,53,47,106,488,0,,capelca01
7,Vit Krejci,24,57,16,1153,145,292,.497,90,206,.437,55,86,.640,.651,32,45,.711,22,134,156,147,36,26,50,105,412,0,,krejcvi01
8,De'Andre Hunter,27,37,4,1064,227,492,.461,97,247,.393,130,245,.531,.560,151,176,.858,27,118,145,57,31,5,59,88,702,0,6MOY-4,huntede01
9,Garrison Mathews,28,47,2,830,102,257,.397,85,218,.390,17,39,.436,.562,64,78,.821,13,74,87,60,26,15,31,81,353,0,,mathega01
10,Caris LeVert,30,26,0,692,145,301,.482,46,136,.338,99,165,.600,.558,52,72,.722,19,77,96,75,24,14,25,51,388,0,,leverca01
11,Terance Mann,28,30,1,682,118,218,.541,34,88,.386,84,130,.646,.619,24,36,.667,36,56,92,62,19,4,22,60,294,0,,mannte01
12,Georges Niang,31,28,2,644,120,272,.441,76,184,.413,44,88,.500,.581,23,29,.793,13,70,83,44,11,7,34,72,339,0,,niangge01
13,Bogdan Bogdanović,32,24,0,598,83,224,.371,44,146,.301,39,78,.500,.469,30,34,.882,12,54,66,49,20,6,37,57,240,0,,bogdabo01
14,Mouhamed Gueye,22,33,28,533,72,171,.421,21,81,.259,51,90,.567,.482,32,42,.762,44,95,139,27,28,33,15,55,197,0,,gueyemo02
15,Keaton Wallace,25,31,5,501,65,162,.401,27,82,.329,38,80,.475,.485,11,11,1.000,7,43,50,81,28,9,33,39,168,1,,wallake01
16,Larry Nance Jr.,32,24,3,463,80,155,.516,34,76,.447,46,79,.582,.626,9,13,.692,23,80,103,38,20,13,16,37,203,0,,nancela02
17,Dominick Barlow,21,35,4,375,60,113,.531,7,27,.259,53,86,.616,.562,21,33,.636,35,50,85,19,9,16,5,47,148,0,,barlodo01
18,David Roddy,23,27,3,346,44,93,.473,16,43,.372,28,50,.560,.559,18,22,.818,11,59,70,30,12,8,20,18,122,0,,roddyda01
19,Kobe Bufkin,21,10,0,124,18,47,.383,4,19,.211,14,28,.500,.426,13,18,.722,5,16,21,17,3,2,8,9,53,0,,bufkiko01
20,Daeqwon Plowden,26,6,0,72,16,25,.640,9,17,.529,7,8,.875,.820,2,2,1.000,4,7,11,2,0,0,4,10,43,0,,plowdda01
21,Jacob Toppin,24,1,0,27,6,12,.500,5,8,.625,1,4,.250,.708,0,0,,1,3,4,2,0,0,1,0,17,0,,toppija01
,Team Totals,,82,82,19781,3556,7528,.472,1107,3089,.358,2449,4439,.552,.546,1472,1900,.775,974,2675,3649,2426,798,419,1205,1564,9691,2,,-9999
