Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Jayson Tatum,26,72,72,2624,662,1465,.452,250,728,.343,412,737,.559,.537,358,440,.814,48,575,623,431,76,38,209,157,1932,2,MVP-4CPOY-10ASNBA1,tatumja01
2,Derrick White,30,76,76,2574,424,959,.442,265,691,.384,159,268,.593,.580,135,161,.839,67,274,341,361,72,80,131,138,1248,0,DPOY-10,whitede01
3,Payton Pritchard,27,80,3,2271,409,866,.472,255,626,.407,154,240,.642,.620,71,84,.845,102,205,307,279,70,14,83,118,1144,0,6MOY-1,pritcpa01
4,Jaylen Brown,28,63,63,2158,518,1118,.463,116,358,.324,402,760,.529,.515,246,322,.764,82,286,368,286,73,19,162,154,1398,0,AS,brownja02
5,Jrue Holiday,34,62,62,1896,254,573,.443,108,306,.353,146,267,.547,.538,70,77,.909,76,189,265,239,66,27,77,101,686,0,,holidjr01
6,Al Horford,38,60,42,1659,195,461,.423,114,314,.363,81,147,.551,.547,34,38,.895,79,290,369,128,36,51,46,81,538,0,,horfoal01
7,Sam Hauser,27,71,19,1541,214,474,.451,166,399,.416,48,75,.640,.627,11,11,1.000,44,180,224,64,41,13,23,87,605,0,,hausesa01
8,Luke Kornet,29,73,16,1361,187,280,.668,0,3,.000,187,277,.675,.668,67,97,.691,190,198,388,117,36,71,31,119,441,0,,kornelu01
9,Kristaps Porziņģis,29,42,42,1210,277,574,.483,103,250,.412,174,324,.537,.572,161,199,.809,68,216,284,87,31,63,53,116,818,0,,porzikr01
10,Neemias Queta,25,62,6,863,132,203,.650,0,3,.000,132,200,.660,.650,46,61,.754,89,147,236,45,18,42,40,106,310,0,,quetane01
11,Jordan Walsh,20,52,1,403,30,83,.361,15,55,.273,15,28,.536,.452,7,12,.583,23,46,69,19,12,11,17,30,82,0,,walshjo01
12,Baylor Scheierman,24,31,2,384,39,110,.355,26,82,.317,13,28,.464,.473,9,12,.750,19,46,65,33,17,2,12,22,113,0,,scheiba01
13,Xavier Tillman Sr.,26,33,2,231,13,53,.245,5,32,.156,8,21,.381,.292,3,4,.750,10,33,43,7,11,5,14,18,34,0,,tillmxa01
14,Torrey Craig,34,17,3,201,16,45,.356,9,31,.290,7,14,.500,.456,5,8,.625,19,29,48,12,6,11,8,19,46,0,,craigto01
15,Drew Peterson,25,25,1,186,17,41,.415,13,33,.394,4,8,.500,.573,7,9,.778,9,31,40,13,5,2,8,18,54,0,,peterdr01
16,Jaden Springer,22,26,0,141,12,34,.353,6,19,.316,6,15,.400,.441,15,21,.714,4,20,24,10,12,1,4,17,45,0,,sprinja01
17,JD Davison,22,16,0,93,12,34,.353,4,18,.222,8,16,.500,.412,5,7,.714,2,11,13,13,5,1,13,2,33,0,,davisjd01
18,Miles Norris,24,3,0,35,2,9,.222,2,7,.286,0,2,.000,.333,1,2,.500,2,7,9,0,2,1,0,0,7,0,,norrimi01
,Team Totals,,82,82,19831,3413,7382,.462,1457,3955,.368,1956,3427,.571,.561,1251,1565,.799,933,2783,3716,2144,589,452,931,1303,9534,2,,-9999
