Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Miles Bridges,26,64,64,2029,469,1089,.431,141,450,.313,328,639,.513,.495,221,254,.870,72,409,481,248,44,45,136,93,1300,1,,bridgmi02
2,Josh Green,24,68,67,1887,180,421,.428,97,248,.391,83,173,.480,.543,49,72,.681,56,116,172,108,74,15,70,165,506,0,,greenjo02
3,LaMelo Ball,23,47,47,1505,406,1003,.405,179,528,.339,227,475,.478,.494,193,229,.843,47,185,232,346,54,13,167,157,1184,0,,ballla01
4,Nick Smith Jr.,20,60,27,1369,222,568,.391,104,306,.340,118,262,.450,.482,43,46,.935,13,115,128,145,17,6,82,79,591,0,,smithni01
5,Tidjane Salaün,19,60,10,1244,114,345,.330,58,205,.283,56,140,.400,.414,67,94,.713,70,210,280,74,29,14,58,84,353,0,,salauti01
6,Moussa Diabaté,23,71,8,1241,167,280,.596,0,6,.000,167,274,.609,.596,69,116,.595,187,251,438,56,46,40,61,109,403,0,,diabamo01
7,Mark Williams,23,44,41,1171,270,447,.604,0,4,.000,270,443,.609,.604,131,163,.804,132,315,447,109,32,54,71,105,671,0,,willima07
8,DaQuan Jeffries,27,47,20,1071,118,291,.405,55,164,.335,63,127,.496,.500,24,30,.800,37,98,135,53,26,25,35,99,315,0,,jeffrda01
9,Seth Curry,34,68,14,1062,164,343,.478,83,182,.456,81,161,.503,.599,33,39,.846,24,89,113,60,27,7,32,59,444,0,,curryse01
10,Cody Martin,29,39,8,967,116,268,.433,40,124,.323,76,144,.528,.507,34,49,.694,40,136,176,89,43,26,42,72,306,0,,martico01
11,Brandon Miller,22,27,27,924,198,491,.403,104,293,.355,94,198,.475,.509,68,79,.861,25,106,131,98,29,20,76,74,568,0,,millebr02
12,KJ Simpson,22,36,15,842,104,301,.346,33,130,.254,71,171,.415,.400,41,50,.820,39,70,109,112,34,6,56,56,282,0,,simpskj01
13,Vasilije Micić,31,36,16,764,95,273,.348,45,125,.360,50,148,.338,.430,34,41,.829,20,67,87,127,15,0,74,44,269,0,,micicva01
14,Grant Williams,26,16,7,479,54,123,.439,27,74,.365,27,49,.551,.549,31,37,.838,18,64,82,37,18,13,28,46,166,0,,willigr01
15,Jusuf Nurkić,30,26,9,471,94,189,.497,13,46,.283,81,143,.566,.532,37,59,.627,39,130,169,68,17,18,40,52,238,0,,nurkiju01
16,Nick Richards,27,21,9,440,64,114,.561,0,1,.000,64,113,.566,.561,59,87,.678,51,107,158,28,7,26,33,48,187,0,,richani01
17,Taj Gibson,39,37,11,409,47,95,.495,1,2,.500,46,93,.495,.500,12,20,.600,51,69,120,21,9,18,25,54,107,0,,gibsota01
18,Damion Baugh,24,15,2,370,42,130,.323,12,56,.214,30,74,.405,.369,13,15,.867,14,36,50,56,15,2,31,22,109,0,,baughda01
19,Tre Mann,23,13,0,319,70,161,.435,24,60,.400,46,101,.455,.509,19,21,.905,12,26,38,39,7,4,25,24,183,0,,manntr01
20,Wendell Moore Jr.,23,16,0,280,36,76,.474,10,27,.370,26,49,.531,.539,5,8,.625,19,32,51,19,10,2,18,16,87,0,,moorewe01
21,Josh Okogie,26,15,6,274,38,98,.388,16,50,.320,22,48,.458,.469,41,53,.774,13,28,41,19,27,8,15,19,133,0,,okogijo01
22,Isaiah Wong,24,20,0,265,41,105,.390,13,33,.394,28,72,.389,.452,25,34,.735,14,18,32,28,11,0,18,21,120,0,,wongis01
23,Elfrid Payton,30,6,2,123,3,21,.143,0,0,,3,21,.143,.143,0,0,,1,12,13,20,6,3,7,12,6,0,,paytoel01
24,Jaylen Sims,26,6,0,112,12,28,.429,6,15,.400,6,13,.462,.536,12,15,.800,3,3,6,12,3,1,8,10,42,0,,simsja01
25,Marcus Garrett,26,4,0,79,11,27,.407,3,8,.375,8,19,.421,.463,3,4,.750,1,5,6,13,3,2,6,10,28,0,,garrema01
26,Malachi Flynn,26,4,0,44,5,13,.385,1,4,.250,4,9,.444,.423,5,6,.833,3,4,7,7,3,0,4,4,16,0,,flynnma01
27,Jared Rhoden,25,4,0,12,2,8,.250,0,2,.000,2,6,.333,.250,0,0,,2,2,4,2,1,0,1,1,4,0,,rhodeja01
,Team Totals,,82,82,19753,3142,7308,.430,1065,3143,.339,2077,4165,.499,.503,1269,1621,.783,1003,2703,3706,1994,607,368,1219,1535,8618,1,,-9999
