Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Darius Garland,25,75,75,2301,554,1174,.472,212,529,.401,342,645,.530,.562,224,255,.878,47,167,214,506,91,11,189,143,1544,0,CPOY-6AS,garlada01
2,Jarrett Allen,26,82,82,2296,452,640,.706,0,5,.000,452,635,.712,.706,199,277,.718,216,582,798,158,77,73,97,127,1103,0,,allenja01
3,Donovan Mitchell,28,71,71,2232,585,1320,.443,233,633,.368,352,687,.512,.531,298,362,.823,57,265,322,354,95,17,149,140,1701,0,MVP-5CPOY-9ASNBA1,mitchdo01
4,Evan Mobley,23,71,71,2167,505,906,.557,85,230,.370,420,676,.621,.604,221,305,.725,164,495,659,226,61,113,145,141,1316,0,MVP-10DPOY-1ASNBA2DEF1,mobleev01
5,Sam Merrill,28,71,4,1401,172,424,.406,137,368,.372,35,56,.625,.567,28,29,.966,38,119,157,108,53,14,35,124,509,0,,merrisa01
6,Ty Jerome,27,70,3,1392,319,618,.516,111,253,.439,208,365,.570,.606,129,148,.872,50,123,173,237,78,3,92,102,878,0,6MOY-3,jeromty01
7,Max Strus,28,50,37,1273,165,373,.442,113,293,.386,52,80,.650,.594,28,34,.824,53,164,217,158,26,12,54,104,471,0,,strusma01
8,Dean Wade,28,59,30,1252,112,271,.413,80,222,.360,32,49,.653,.561,16,30,.533,51,198,249,76,42,20,22,101,320,0,,wadede01
9,Georges Niang,31,51,1,1053,166,348,.477,90,225,.400,76,123,.618,.606,23,29,.793,34,155,189,67,17,7,48,129,445,0,,niangge01
10,Isaac Okoro,24,55,22,1053,124,267,.464,56,151,.371,68,116,.586,.569,33,46,.717,49,81,130,68,32,16,23,104,337,0,,okorois01
11,Caris LeVert,30,38,3,904,135,298,.453,60,148,.405,75,150,.500,.554,58,83,.699,22,85,107,140,33,19,51,48,388,0,,leverca01
12,De'Andre Hunter,27,27,5,676,131,270,.485,60,141,.426,71,129,.550,.596,64,78,.821,17,96,113,35,19,8,23,67,386,0,6MOY-4,huntede01
13,Craig Porter Jr.,24,51,1,513,72,140,.514,21,48,.438,51,92,.554,.589,23,32,.719,19,48,67,71,17,15,38,25,188,0,,portecr01
14,Jaylon Tyson,22,47,3,453,64,149,.430,20,58,.345,44,91,.484,.497,19,24,.792,37,59,96,44,13,3,26,50,167,0,,tysonja01
15,Tristan Thompson,33,40,0,328,31,71,.437,0,3,.000,31,68,.456,.437,7,30,.233,32,102,134,24,2,11,14,36,69,0,,thomptr01
16,Javonte Green,31,18,1,166,23,63,.365,8,33,.242,15,30,.500,.429,5,10,.500,10,30,40,11,10,1,4,21,59,0,,greenja02
17,Luke Travers,23,12,0,88,5,20,.250,0,9,.000,5,11,.455,.250,2,2,1.000,8,12,20,8,1,1,8,6,12,0,,travelu01
18,Emoni Bates,21,10,0,75,13,38,.342,11,30,.367,2,8,.250,.487,0,0,,0,7,7,8,1,1,2,4,37,0,,batesem01
19,Nae'Qwan Tomlin,24,5,1,63,13,32,.406,2,10,.200,11,22,.500,.438,8,11,.727,9,12,21,2,0,1,2,9,36,0,,tomlina01
20,JT Thor,22,9,0,42,9,15,.600,3,6,.500,6,9,.667,.700,7,8,.875,3,3,6,1,2,3,6,6,28,0,,thorjt01
21,Chuma Okeke,26,2,0,25,2,7,.286,1,6,.167,1,1,1.000,.357,0,0,,1,3,4,2,0,1,0,0,5,0,,okekech01
,Team Totals,,82,82,19753,3652,7444,.491,1303,3401,.383,2349,4043,.581,.578,1392,1793,.776,917,2806,3723,2304,670,350,1028,1487,9999,0,,-9999
