Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Cade Cunningham,23,70,70,2452,684,1457,.469,149,418,.356,535,1039,.515,.521,313,370,.846,56,369,425,638,71,53,309,195,1830,9,MVP-7ASNBA3,cunnica01
2,Tobias Harris,32,73,73,2305,384,805,.477,91,264,.345,293,541,.542,.534,143,166,.861,65,367,432,162,74,57,85,138,1002,0,,harrito02
3,Malik Beasley,28,82,18,2283,461,1071,.430,319,766,.416,142,305,.466,.579,95,140,.679,47,167,214,139,73,5,83,125,1336,0,6MOY-2,beaslma01
4,Tim Hardaway Jr.,32,77,77,2153,276,680,.406,168,457,.368,108,223,.484,.529,124,145,.855,18,165,183,123,38,7,48,96,844,0,,hardati02
5,Jalen Duren,21,78,78,2034,378,546,.692,0,0,,378,546,.692,.692,162,242,.669,277,530,807,209,54,89,136,251,918,0,,durenja01
6,Isaiah Stewart,23,72,4,1434,176,315,.559,17,53,.321,159,262,.607,.586,66,87,.759,130,269,399,123,28,101,68,183,435,0,,stewais01
7,Ausar Thompson,22,59,48,1328,246,460,.535,11,49,.224,235,411,.572,.547,91,142,.641,111,192,303,134,98,40,80,164,594,0,,thompau01
8,Ron Holland,19,81,2,1266,197,416,.474,36,151,.238,161,265,.608,.517,92,122,.754,40,178,218,82,49,17,72,141,522,0,,hollaro01
9,Simone Fontecchio,29,75,0,1237,150,373,.402,76,227,.335,74,146,.507,.504,70,84,.833,52,163,215,65,31,12,54,95,446,0,,fontesi01
10,Jaden Ivey,22,30,30,898,190,413,.460,63,154,.409,127,259,.490,.536,85,116,.733,40,84,124,119,28,11,89,67,528,0,,iveyja01
11,Marcus Sasser,24,57,1,811,137,296,.463,58,152,.382,79,144,.549,.561,43,51,.843,18,51,69,133,37,4,54,72,375,0,,sassema01
12,Dennis Schröder,31,28,8,705,95,251,.378,32,106,.302,63,145,.434,.442,80,96,.833,13,61,74,147,15,5,35,57,302,0,,schrode01
13,Paul Reed,25,45,0,438,72,142,.507,8,28,.286,64,114,.561,.535,32,42,.762,40,83,123,44,39,25,26,75,184,0,,reedpa01
14,Wendell Moore Jr.,23,20,1,219,23,50,.460,4,14,.286,19,36,.528,.500,13,14,.929,11,33,44,23,10,3,9,15,63,0,,moorewe01
15,Lindy Waters III,27,14,0,123,16,44,.364,15,38,.395,1,6,.167,.534,0,0,,4,10,14,10,5,1,3,7,47,0,,waterli01
16,Bobi Klintman,21,8,0,42,6,10,.600,2,5,.400,4,5,.800,.700,1,2,.500,1,6,7,7,2,1,1,8,15,0,,klintbo01
17,Daniss Jenkins,23,7,0,23,3,10,.300,1,7,.143,2,3,.667,.350,0,2,.000,0,2,2,3,0,0,1,2,7,0,,jenkida01
18,Tolu Smith,24,1,0,22,6,9,.667,0,0,,6,9,.667,.667,2,3,.667,4,4,8,0,0,0,2,3,14,0,,smithto05
19,Ron Harper Jr.,24,1,0,17,1,8,.125,0,6,.000,1,2,.500,.125,2,2,1.000,4,3,7,2,0,0,0,0,4,0,,harpero02
20,Cole Swider,25,2,0,13,0,5,.000,0,5,.000,0,0,,.000,0,0,,0,2,2,1,0,0,0,1,0,0,,swideco01
21,Alondes Williams,25,1,0,4,2,2,1.000,1,1,1.000,1,1,1.000,1.250,0,0,,0,0,0,1,0,0,0,0,5,0,,willial06
,Team Totals,,82,82,19807,3503,7363,.476,1051,2901,.362,2452,4462,.550,.547,1414,1826,.774,931,2739,3670,2165,652,431,1155,1695,9471,9,,-9999
