Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Jaren Jackson Jr.,25,74,74,2207,592,1213,.488,146,389,.375,446,824,.541,.548,311,398,.781,91,326,417,148,92,113,153,257,1641,0,DPOY-7ASDEF2,jacksja02
2,Desmond Bane,26,69,68,2205,493,1018,.484,164,418,.392,329,600,.548,.565,177,198,.894,62,356,418,369,80,28,169,164,1327,1,,banede01
3,Jaylen Wells,21,79,74,2043,287,676,.425,138,392,.352,149,284,.525,.527,111,135,.822,87,181,268,135,44,8,69,146,823,0,ROY-3,wellsja01
4,Scotty Pippen Jr.,24,79,21,1683,285,594,.480,87,219,.397,198,375,.528,.553,122,171,.713,65,194,259,347,103,30,138,203,779,1,,pippesc02
5,Santi Aldama,24,65,16,1660,313,648,.483,120,326,.368,193,322,.599,.576,65,94,.691,94,322,416,188,52,29,71,76,811,0,,aldamsa01
6,Ja Morant,25,50,50,1519,404,889,.454,88,285,.309,316,604,.523,.504,263,319,.824,34,171,205,364,61,12,185,113,1159,1,,moranja01
7,Luke Kennard,28,65,11,1472,206,431,.478,113,261,.433,93,170,.547,.609,51,57,.895,37,146,183,215,50,5,72,59,576,0,,kennalu01
8,Zach Edey,22,66,55,1416,251,433,.580,18,52,.346,233,381,.612,.600,90,127,.709,232,316,548,65,36,85,88,182,610,0,ROY-5,edeyza01
9,Brandon Clarke,28,64,18,1207,236,380,.621,1,17,.059,235,363,.647,.622,61,87,.701,127,199,326,66,52,36,41,145,534,0,,clarkbr01
10,Jake LaRavia,23,47,0,982,118,241,.490,40,90,.444,78,151,.517,.573,67,96,.698,67,138,205,133,44,20,69,92,343,0,,laravja01
11,Jay Huff,26,64,2,748,157,305,.515,81,200,.405,76,105,.724,.648,44,56,.786,30,99,129,38,16,56,34,78,439,0,,huffja01
12,John Konchar,28,46,4,558,41,91,.451,23,62,.371,18,29,.621,.577,7,8,.875,37,114,151,42,30,14,16,32,112,0,,konchjo01
13,Vince Williams Jr.,24,27,5,499,67,167,.401,26,95,.274,41,72,.569,.479,19,24,.792,22,76,98,55,12,7,33,45,179,0,,willivi01
14,GG Jackson II,20,29,3,459,74,199,.372,32,95,.337,42,104,.404,.452,29,40,.725,27,65,92,29,12,5,31,30,209,0,,jacksgg01
15,Marcus Smart,30,19,6,400,53,148,.358,29,90,.322,24,58,.414,.456,30,36,.833,14,29,43,71,23,6,35,31,165,0,,smartma01
16,Cam Spencer,24,25,1,252,34,82,.415,19,52,.365,15,30,.500,.530,19,19,1.000,12,18,30,34,9,1,6,23,106,0,,spencca01
17,Lamar Stevens,27,17,1,155,29,63,.460,8,27,.296,21,36,.583,.524,8,11,.727,4,34,38,8,5,3,10,15,74,0,,stevela01
18,Marvin Bagley III,25,12,1,99,17,35,.486,1,9,.111,16,26,.615,.500,8,12,.667,11,17,28,4,2,3,1,6,43,0,,baglema01
19,Yuki Kawamura,23,22,0,93,11,30,.367,7,23,.304,4,7,.571,.483,7,9,.778,0,12,12,19,2,0,5,8,36,0,,kawamyu01
20,Colin Castleton,24,10,0,46,2,10,.200,0,4,.000,2,6,.333,.200,10,11,.909,3,6,9,0,1,1,1,6,14,0,,castlco01
21,Zyon Pullin,23,3,0,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,0,,pullizy01
,Team Totals,,82,82,19706,3670,7654,.479,1141,3106,.367,2529,4548,.556,.554,1499,1908,.786,1056,2819,3875,2330,726,462,1227,1711,9980,3,,-9999
