Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Tyler Herro,25,77,77,2725,651,1378,.472,251,670,.375,400,708,.565,.563,287,327,.878,35,364,399,424,69,17,198,85,1840,0,AS,herroty01
2,Bam Adebayo,27,78,78,2674,540,1113,.485,79,221,.357,461,892,.517,.521,251,328,.765,185,564,749,337,98,53,161,162,1410,1,DPOY-10,adebaba01
3,Haywood Highsmith,28,74,42,1818,179,391,.458,89,233,.382,90,158,.570,.572,31,43,.721,72,180,252,112,68,37,54,164,478,0,,highsha01
4,Duncan Robinson,30,74,37,1785,290,663,.437,190,483,.393,100,180,.556,.581,47,53,.887,18,149,167,176,40,6,86,135,817,0,,robindu01
5,Terry Rozier,30,64,23,1658,248,635,.391,91,308,.295,157,327,.480,.462,92,108,.852,44,194,238,167,37,14,78,73,679,0,,roziete01
6,Kel'el Ware,20,64,36,1422,257,464,.554,35,111,.315,222,353,.629,.592,46,67,.687,116,357,473,60,39,71,57,111,595,0,ROY-6,wareke01
7,Jaime Jaquez Jr.,23,66,17,1368,213,462,.461,37,119,.311,176,343,.513,.501,107,142,.754,84,206,290,166,61,14,98,81,570,1,,jaqueja01
8,Nikola Jović,21,46,10,1156,172,377,.456,78,210,.371,94,167,.563,.560,72,87,.828,26,154,180,131,38,13,60,82,494,0,,jovicni01
9,Davion Mitchell,26,30,15,947,117,232,.504,42,94,.447,75,138,.543,.595,33,47,.702,19,63,82,160,41,8,50,69,309,0,,mitchda01
10,Alec Burks,33,49,14,863,115,271,.424,88,207,.425,27,64,.422,.587,38,49,.776,15,109,124,55,28,7,29,37,356,0,,burksal01
11,Pelle Larsson,23,55,8,782,89,203,.438,32,95,.337,57,108,.528,.517,41,61,.672,28,64,92,65,32,7,24,91,251,0,,larsspe01
12,Jimmy Butler,35,25,25,766,142,263,.540,13,36,.361,129,227,.568,.565,129,161,.801,55,76,131,120,27,10,30,23,426,1,,butleji01
13,Andrew Wiggins,29,17,17,546,115,251,.458,36,100,.360,79,151,.523,.530,57,78,.731,23,49,72,56,20,17,43,31,323,0,,wiggian01
14,Kyle Anderson,31,25,1,461,66,134,.493,6,18,.333,60,116,.517,.515,30,38,.789,26,70,96,64,14,13,17,41,168,0,,anderky01
15,Dru Smith,27,14,1,268,31,61,.508,16,30,.533,15,31,.484,.639,9,12,.750,12,24,36,23,21,6,17,30,87,0,,smithdr01
16,Kevin Love,36,23,9,251,41,115,.357,24,67,.358,17,48,.354,.461,16,23,.696,22,72,94,22,15,4,14,21,122,0,,loveke01
17,Josh Richardson,31,8,0,150,11,38,.289,6,22,.273,5,16,.313,.368,4,4,1.000,6,6,12,12,8,1,8,17,32,0,,richajo01
18,Thomas Bryant,27,10,0,115,12,28,.429,6,17,.353,6,11,.545,.536,11,11,1.000,6,26,32,4,1,9,2,9,41,0,,bryanth01
19,Keshad Johnson,23,16,0,98,18,26,.692,3,7,.429,15,19,.789,.750,4,9,.444,6,22,28,4,5,4,4,11,43,0,,johnske10
20,Josh Christopher,23,14,0,69,11,31,.355,2,11,.182,9,20,.450,.387,4,6,.667,0,9,9,8,5,3,6,2,28,0,,chrisjo01
21,Isaiah Stevens,24,3,0,6,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,2,2,0,1,0,0,0,0,0,,steveis01
,Team Totals,,82,82,19928,3318,7138,.465,1124,3060,.367,2194,4078,.538,.544,1309,1654,.791,798,2760,3558,2166,668,314,1036,1275,9069,3,,-9999
