Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Brook Lopez,36,80,80,2546,394,774,.509,139,373,.373,255,401,.636,.599,114,138,.826,113,288,401,143,50,148,84,171,1041,0,,lopezbr01
2,Giannis Antetokounmpo,30,67,67,2289,793,1319,.601,14,63,.222,779,1256,.620,.607,436,707,.617,147,651,798,433,58,78,206,155,2036,11,MVP-3DPOY-8ASNBA1,antetgi01
3,Taurean Prince,30,80,73,2166,235,514,.457,147,335,.439,88,179,.492,.600,39,48,.813,34,253,287,155,76,15,82,165,656,0,,princta02
4,Damian Lillard,34,58,58,2093,444,992,.448,197,524,.376,247,468,.528,.547,362,393,.921,29,243,272,410,70,10,162,97,1447,2,AS,lillada01
5,Gary Trent Jr.,26,74,9,1893,283,657,.431,180,433,.416,103,224,.460,.568,78,92,.848,20,148,168,87,72,4,42,124,824,0,,trentga02
6,A.J. Green,25,73,7,1659,182,424,.429,155,363,.427,27,61,.443,.612,22,27,.815,18,156,174,108,37,7,40,157,541,0,,greenaj01
7,Bobby Portis,29,49,7,1244,277,595,.466,65,178,.365,212,417,.508,.520,61,73,.836,90,321,411,104,35,26,57,94,680,0,,portibo01
8,Kyle Kuzma,29,33,32,1049,179,393,.455,51,153,.333,128,240,.533,.520,69,104,.663,27,158,185,73,16,12,73,67,478,0,,kuzmaky01
9,Andre Jackson Jr.,23,67,43,980,94,197,.477,30,76,.395,64,121,.529,.553,12,24,.500,65,117,182,83,34,14,58,114,230,0,,jacksan01
10,Ryan Rollins,22,56,19,820,132,271,.487,49,120,.408,83,151,.550,.577,36,45,.800,21,87,108,104,42,17,53,88,349,0,,rolliry01
11,Pat Connaughton,32,41,1,603,83,177,.469,26,81,.321,57,96,.594,.542,24,31,.774,19,90,109,70,9,11,24,45,216,0,,connapa01
12,Kevin Porter Jr.,24,30,2,598,121,245,.494,29,71,.408,92,174,.529,.553,81,93,.871,13,105,118,112,38,2,52,49,352,1,,porteke02
13,Khris Middleton,33,23,7,534,108,211,.512,35,86,.407,73,125,.584,.595,39,46,.848,5,80,85,102,17,5,37,52,290,0,,middlkh01
14,Delon Wright,32,26,2,405,22,82,.268,12,49,.245,10,33,.303,.341,9,16,.563,15,31,46,48,23,9,14,17,65,0,,wrighde01
15,Jericho Sims,26,14,0,210,17,25,.680,0,0,,17,25,.680,.680,0,0,,20,48,68,11,2,9,12,19,34,0,,simsje01
16,Tyler Smith,20,23,0,122,24,50,.480,13,30,.433,11,20,.550,.610,6,8,.750,6,19,25,4,3,4,8,11,67,0,,smithty02
17,MarJon Beauchamp,24,26,0,122,18,47,.383,7,21,.333,11,26,.423,.457,9,12,.750,7,25,32,8,3,1,13,10,52,0,,beaucma01
18,Chris Livingston,21,21,1,106,9,27,.333,0,8,.000,9,19,.474,.333,12,16,.750,10,25,35,5,5,0,6,8,30,0,,livinch01
19,Stanley Umude,25,22,0,86,5,26,.192,3,15,.200,2,11,.182,.250,2,4,.500,4,13,17,4,3,6,3,8,15,0,,umudest01
20,Pete Nance,24,6,1,70,9,17,.529,5,12,.417,4,5,.800,.676,0,0,,3,8,11,7,1,2,4,7,23,0,,nancepe01
21,Jamaree Bouyea,25,5,1,62,6,12,.500,1,5,.200,5,7,.714,.542,4,6,.667,1,4,5,10,4,2,8,2,17,0,,bouyeja01
22,Liam Robbins,25,13,0,57,2,8,.250,0,2,.000,2,6,.333,.250,5,10,.500,7,5,12,2,2,2,6,9,9,0,,robbili01
23,AJ Johnson,20,7,0,44,8,19,.421,3,5,.600,5,14,.357,.500,1,2,.500,0,7,7,7,1,0,4,0,20,0,,johnsaj01
,Team Totals,,82,82,19758,3445,7082,.486,1161,3003,.387,2284,4079,.560,.568,1421,1895,.750,674,2882,3556,2090,601,384,1048,1469,9472,14,,-9999
