Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Yves Missi,20,73,67,1956,269,492,.547,0,1,.000,269,491,.548,.547,127,204,.623,255,346,601,99,37,98,82,145,665,0,,missiyv01
2,Trey Murphy III,24,53,51,1854,381,839,.454,158,438,.361,223,401,.556,.548,204,230,.887,47,221,268,188,56,39,103,112,1124,0,,murphtr02
3,CJ McCollum,33,56,56,1832,444,1000,.444,171,459,.373,273,541,.505,.530,124,173,.717,42,170,212,227,46,24,106,124,1183,0,,mccolcj01
4,Jose Alvarado,26,56,23,1366,204,521,.392,111,309,.359,93,212,.439,.498,60,74,.811,27,109,136,259,74,14,86,91,579,0,,alvarjo01
5,Jordan Hawkins,22,56,9,1321,207,556,.372,110,332,.331,97,224,.433,.471,80,98,.816,25,133,158,66,30,23,58,51,604,0,,hawkijo01
6,Jeremiah Robinson-Earl,24,66,9,1239,158,347,.455,56,164,.341,102,183,.557,.536,46,55,.836,110,205,315,88,39,7,51,79,418,0,,robinje02
7,Javonte Green,31,50,18,1092,100,224,.446,38,108,.352,62,116,.534,.531,50,66,.758,49,129,178,45,55,30,28,77,288,0,,greenja02
8,Dejounte Murray,28,31,31,1012,194,494,.393,52,174,.299,142,320,.444,.445,102,124,.823,17,183,200,228,63,12,106,61,542,1,,murrade01
9,Brandon Boston Jr.,23,42,10,993,166,381,.436,49,140,.350,117,241,.485,.500,67,85,.788,28,106,134,92,53,9,52,73,448,0,,bostobr01
10,Zion Williamson,24,30,30,857,288,508,.567,3,13,.231,285,495,.576,.570,158,241,.656,76,140,216,159,37,27,90,82,737,2,,willizi01
11,Karlo Matković,23,42,7,791,135,235,.574,21,66,.318,114,169,.675,.619,34,44,.773,64,145,209,46,22,41,43,106,325,0,,matkoka01
12,Antonio Reeves,24,44,6,660,113,248,.456,51,129,.395,62,119,.521,.558,28,35,.800,18,45,63,39,21,4,30,40,305,0,,reevean01
13,Herbert Jones,26,20,20,648,75,172,.436,22,72,.306,53,100,.530,.500,33,40,.825,22,56,78,65,37,9,35,66,205,0,,joneshe01
14,Daniel Theis,32,38,9,621,61,129,.473,9,37,.243,52,92,.565,.508,31,37,.838,44,120,164,60,18,20,25,70,162,0,,theisda01
15,Brandon Ingram,27,18,18,595,155,333,.465,43,115,.374,112,218,.514,.530,47,55,.855,17,83,100,93,16,11,69,45,400,0,,ingrabr01
16,Bruce Brown,28,23,12,569,73,178,.410,16,45,.356,57,133,.429,.455,27,36,.750,23,73,96,56,17,7,20,45,189,0,,brownbr01
17,Kelly Olynyk,33,20,20,508,75,150,.500,14,36,.389,61,114,.535,.547,49,65,.754,37,80,117,72,17,11,41,64,213,0,,olynyke01
18,Jamal Cain,25,37,0,502,68,158,.430,26,80,.325,42,78,.538,.513,34,50,.680,27,58,85,22,23,9,22,46,196,0,,cainja01
19,Elfrid Payton,30,18,7,388,37,101,.366,1,6,.167,36,95,.379,.371,4,7,.571,14,52,66,146,18,8,52,24,79,0,,paytoel01
20,Keion Brooks Jr.,24,14,6,332,53,109,.486,14,43,.326,39,66,.591,.550,22,30,.733,12,46,58,13,10,10,12,30,142,0,,brookke02
21,Jaylen Nowell,25,8,0,168,26,73,.356,8,27,.296,18,46,.391,.411,7,11,.636,6,14,20,18,1,4,8,9,67,0,,nowelja01
22,Trey Jemison,25,16,0,166,15,32,.469,0,0,,15,32,.469,.469,8,21,.381,22,22,44,10,7,6,10,27,38,0,,jemistr01
23,Lester Quiñones,24,9,0,166,27,70,.386,13,41,.317,14,29,.483,.479,10,12,.833,1,14,15,23,3,2,10,18,77,0,,quinole01
24,Mo Bamba,26,4,0,61,4,9,.444,0,4,.000,4,5,.800,.444,2,2,1.000,6,19,25,2,0,3,1,7,10,0,,bambamo01
25,Kylor Kelley,27,3,1,59,4,9,.444,0,0,,4,9,.444,.444,2,4,.500,4,14,18,3,1,1,3,7,10,0,,kelleky01
,Team Totals,,82,82,19756,3332,7368,.452,986,2839,.347,2346,4529,.518,.519,1356,1799,.754,993,2583,3576,2119,701,429,1143,1499,9006,3,,-9999
