Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Shai Gilgeous-Alexander,26,76,76,2598,860,1656,.519,163,435,.375,697,1221,.571,.569,601,669,.898,67,312,379,486,131,77,183,164,2484,0,MVP-1DPOY-10CPOY-8ASNBA1,gilgesh01
2,Jalen Williams,23,69,69,2237,565,1168,.484,124,340,.365,441,828,.533,.537,236,299,.789,59,310,369,354,111,46,150,158,1490,0,ASNBA3DEF2,willija06
3,Luguentz Dort,25,71,71,2073,258,593,.435,170,413,.412,88,180,.489,.578,33,46,.717,89,204,293,115,79,39,51,208,719,0,DPOY-4DEF1,dortlu01
4,Cason Wallace,21,68,43,1876,232,489,.474,74,208,.356,158,281,.562,.550,30,37,.811,71,158,229,173,120,35,59,145,568,0,,wallaca01
5,Aaron Wiggins,26,76,26,1744,355,728,.488,130,339,.383,225,389,.578,.577,74,89,.831,81,214,295,134,60,18,69,101,914,0,,wiggiaa01
6,Isaiah Joe,25,74,16,1604,259,588,.440,192,466,.412,67,122,.549,.604,46,56,.821,41,155,196,119,48,9,38,113,756,0,,joeis01
7,Isaiah Hartenstein,26,57,53,1590,279,480,.581,0,19,.000,279,461,.605,.581,79,117,.675,163,448,611,219,47,62,96,171,637,0,,harteis01
8,Kenrich Williams,30,69,7,1132,171,354,.483,66,171,.386,105,183,.574,.576,28,39,.718,65,176,241,97,43,10,39,110,436,0,,willike04
9,Alex Caruso,30,54,3,1041,140,314,.446,60,170,.353,80,144,.556,.541,42,51,.824,38,121,159,137,87,30,37,102,382,0,6MOY-8,carusal01
10,Chet Holmgren,22,32,32,877,167,341,.490,44,116,.379,123,225,.547,.554,101,134,.754,48,209,257,63,23,71,56,72,479,0,,holmgch01
11,Jaylin Williams,22,47,9,784,97,221,.439,61,153,.399,36,68,.529,.577,23,30,.767,48,214,262,120,22,29,35,79,278,3,,willija07
12,Ajay Mitchell,22,36,1,597,91,184,.495,23,60,.383,68,124,.548,.557,29,35,.829,18,50,68,64,25,4,29,68,234,0,,mitchaj01
13,Dillon Jones,23,54,3,551,51,133,.383,16,63,.254,35,70,.500,.444,17,28,.607,30,91,121,58,16,4,28,54,135,0,,jonesdi01
14,Ousmane Dieng,21,37,1,405,54,125,.432,23,71,.324,31,54,.574,.524,11,16,.688,18,63,81,31,17,7,18,33,142,0,,diengou01
15,Branden Carlson,25,32,0,246,43,97,.443,22,66,.333,21,31,.677,.557,14,18,.778,17,37,54,14,5,21,7,22,122,0,,carlsbr01
16,Adam Flagler,25,37,0,203,25,96,.260,14,72,.194,11,24,.458,.333,1,2,.500,7,20,27,12,8,3,4,15,65,0,,flaglad01
17,Alex Ducas,24,21,0,125,12,30,.400,10,21,.476,2,9,.222,.567,2,2,1.000,9,17,26,5,5,0,4,12,36,0,,ducasal01
18,Malevy Leons,25,6,0,21,0,2,.000,0,1,.000,0,1,.000,.000,2,4,.500,1,2,3,1,0,0,1,4,2,0,,leonsma01
19,Alex Reese,25,1,0,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,0,1,0,0,0,0,0,2,0,,reeseal01
,Team Totals,,82,82,19706,3660,7600,.482,1192,3184,.374,2468,4416,.559,.560,1369,1672,.819,871,2801,3672,2202,847,465,904,1631,9881,3,,-9999
