Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Kelly Oubre Jr.,29,60,57,2078,348,741,.470,71,242,.293,277,499,.555,.518,139,185,.751,97,271,368,108,92,30,80,180,906,0,,oubreke01
2,Tyrese Maxey,24,52,52,1960,477,1091,.437,161,478,.337,316,613,.515,.511,254,289,.879,15,159,174,317,91,21,124,116,1369,1,CPOY-10,maxeyty01
3,Guerschon Yabusele,29,70,43,1895,282,563,.501,104,274,.380,178,289,.616,.593,100,138,.725,134,261,395,148,58,24,87,164,768,0,,yabusgu01
4,Paul George,34,41,41,1334,245,570,.430,96,268,.358,149,302,.493,.514,79,97,.814,24,195,219,178,75,20,106,101,665,0,,georgpa01
5,Ricky Council IV,23,73,12,1250,177,463,.382,55,213,.258,122,250,.488,.442,123,153,.804,51,163,214,97,32,13,52,67,532,0,,councri01
6,Justin Edwards,21,44,26,1155,172,378,.455,69,190,.363,103,188,.548,.546,32,46,.696,46,102,148,69,45,16,49,98,445,0,,edwarju01
7,Caleb Martin,29,31,24,943,101,232,.435,33,87,.379,68,145,.469,.506,46,74,.622,43,93,136,69,34,20,43,63,281,0,,martica02
8,Quentin Grimes,24,28,25,943,215,458,.469,82,220,.373,133,238,.559,.559,100,133,.752,29,116,145,127,42,12,80,60,612,0,,grimequ01
9,Adem Bona,21,58,11,905,135,192,.703,0,1,.000,135,191,.707,.703,67,100,.670,92,153,245,27,26,69,61,125,337,0,,bonaad01
10,Eric Gordon,36,39,13,768,87,204,.426,56,137,.409,31,67,.463,.564,36,48,.750,8,38,46,65,26,12,28,32,266,0,,gordoer01
11,Andre Drummond,31,40,23,751,117,234,.500,3,20,.150,114,214,.533,.506,56,90,.622,109,201,310,34,39,18,55,94,293,0,,drumman01
12,Jared Butler,24,28,17,682,118,277,.426,45,128,.352,73,149,.490,.507,40,46,.870,11,58,69,138,30,8,51,57,321,0,,butleja02
13,Kyle Lowry,38,35,12,659,41,117,.350,29,88,.330,12,29,.414,.474,27,33,.818,11,56,67,96,33,11,21,62,138,0,,lowryky01
14,Jeff Dowtin Jr.,27,41,3,621,112,230,.487,28,70,.400,84,160,.525,.548,33,45,.733,12,48,60,78,24,12,15,29,285,0,,dowtije01
15,Jared McCain,20,23,8,592,126,274,.460,51,133,.383,75,141,.532,.553,49,56,.875,13,43,56,60,15,0,37,37,352,0,ROY-7,mccaija01
16,Joel Embiid,30,19,19,574,140,315,.444,23,77,.299,117,238,.492,.481,149,169,.882,36,119,155,85,14,18,62,42,452,1,,embiijo01
17,KJ Martin,24,24,7,480,61,99,.616,8,21,.381,53,78,.679,.657,24,29,.828,21,51,72,19,11,16,12,62,154,0,,martike04
18,Lonnie Walker IV,26,20,7,477,89,212,.420,45,127,.354,44,85,.518,.526,24,30,.800,6,57,63,50,10,5,25,27,247,0,,walkelo01
19,Reggie Jackson,34,31,1,384,52,133,.391,25,74,.338,27,59,.458,.485,7,9,.778,8,34,42,45,16,3,17,34,136,0,,jacksre01
20,Jalen Hood-Schifino,21,13,0,301,36,97,.371,14,46,.304,22,51,.431,.443,16,19,.842,2,24,26,36,5,6,17,22,102,0,,hoodsja01
21,Marcus Bagley,23,10,4,253,27,69,.391,5,32,.156,22,37,.595,.428,8,10,.800,23,47,70,10,9,12,7,16,67,0,,baglema02
22,Alex Reese,25,14,0,214,25,53,.472,15,41,.366,10,12,.833,.613,9,12,.750,8,38,46,4,10,10,6,21,74,0,,reeseal01
23,Chuma Okeke,26,7,3,171,18,33,.545,10,22,.455,8,11,.727,.697,2,3,.667,20,23,43,13,5,3,3,5,48,0,,okekech01
24,Oshae Brissett,26,6,2,142,19,39,.487,6,18,.333,13,21,.619,.564,8,14,.571,7,15,22,4,4,3,8,14,52,0,,brissos01
25,Colin Castleton,24,5,0,98,12,24,.500,0,4,.000,12,20,.600,.500,6,9,.667,16,21,37,10,1,1,1,13,30,0,,castlco01
26,Pete Nance,24,7,0,68,5,15,.333,4,12,.333,1,3,.333,.467,1,2,.500,2,8,10,3,1,0,0,10,15,0,,nancepe01
27,Phillip Wheeler,22,5,0,44,3,21,.143,0,10,.000,3,11,.273,.143,2,2,1.000,2,6,8,2,1,2,1,1,8,0,,wheelph02
28,David Roddy,23,3,0,29,8,19,.421,2,11,.182,6,8,.750,.474,0,0,,2,7,9,3,2,0,1,1,18,0,,roddyda01
29,Isaiah Mobley,25,1,0,17,2,7,.286,1,3,.333,1,4,.250,.357,1,2,.500,1,3,4,5,1,1,0,3,6,0,,mobleis01
30,Lester Quiñones,24,4,0,17,4,8,.500,0,3,.000,4,5,.800,.500,1,1,1.000,3,1,4,1,0,0,4,0,9,0,,quinole01
,Team Totals,,82,82,19805,3254,7168,.454,1041,3050,.341,2213,4118,.537,.527,1439,1844,.780,852,2411,3263,1901,752,366,1053,1556,8988,2,,-9999
