Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Devin Booker,28,75,75,2795,654,1420,.461,183,551,.332,471,869,.542,.525,432,483,.894,76,229,305,529,67,16,220,198,1923,0,,bookede01
2,Kevin Durant,36,62,62,2265,592,1124,.527,160,372,.430,432,752,.574,.598,303,361,.839,23,351,374,263,50,77,190,104,1647,0,AS,duranke01
3,Tyus Jones,28,81,58,2174,306,683,.448,166,401,.414,140,282,.496,.570,51,57,.895,40,156,196,429,69,8,91,63,829,0,,jonesty01
4,Royce O'Neale,31,75,22,1837,241,570,.423,179,441,.406,62,129,.481,.580,19,26,.731,53,296,349,163,67,34,65,151,680,0,,onealro01
5,Bradley Beal,31,53,38,1702,345,694,.497,102,264,.386,243,430,.565,.571,110,137,.803,34,143,177,195,58,28,99,136,902,0,,bealbr01
6,Grayson Allen,29,64,7,1544,219,489,.448,149,350,.426,70,139,.504,.600,93,114,.816,34,160,194,137,54,19,75,95,680,0,,allengr01
7,Ryan Dunn,22,74,44,1410,205,477,.430,82,264,.311,123,213,.577,.516,19,39,.487,92,175,267,57,44,40,40,162,511,0,,dunnry01
8,Mason Plumlee,34,74,21,1300,125,202,.619,0,4,.000,125,198,.631,.619,83,128,.648,116,339,455,134,33,47,59,154,333,0,,plumlma01
9,Oso Ighodaro,22,61,6,1045,113,187,.604,0,2,.000,113,185,.611,.604,29,50,.580,66,156,222,71,28,29,39,102,255,0,,ighodos01
10,Nick Richards,27,36,34,816,141,233,.605,0,1,.000,141,232,.608,.605,60,73,.822,97,211,308,21,7,29,48,93,342,0,,richani01
11,Jusuf Nurkić,30,25,23,592,74,163,.454,19,59,.322,55,104,.529,.512,48,69,.696,46,183,229,47,23,16,57,78,215,0,,nurkiju01
12,Monte Morris,29,45,0,571,83,195,.426,31,86,.360,52,109,.477,.505,36,42,.857,12,55,67,73,20,3,21,23,233,0,,morrimo01
13,Collin Gillespie,25,33,9,461,68,158,.430,39,90,.433,29,68,.426,.554,19,22,.864,22,56,78,78,21,5,17,30,194,0,,gilleco01
14,Bol Bol,25,36,10,448,96,183,.525,32,93,.344,64,90,.711,.612,20,26,.769,20,84,104,22,9,25,20,20,244,0,,bolbo01
15,Josh Okogie,26,25,1,351,56,114,.491,16,42,.381,40,72,.556,.561,22,32,.688,32,40,72,14,21,10,16,28,150,0,,okogijo01
16,Cody Martin,29,14,0,206,20,57,.351,3,27,.111,17,30,.567,.377,9,12,.750,13,35,48,16,13,6,9,23,52,0,,martico01
17,Damion Lee,32,25,0,144,27,74,.365,9,37,.243,18,37,.486,.426,20,21,.952,3,17,20,11,6,0,10,6,83,0,,leeda03
18,TyTy Washington Jr.,23,16,0,118,14,45,.311,4,21,.190,10,24,.417,.356,3,6,.500,4,9,13,16,3,0,3,4,35,0,,washity02
19,Jalen Bridges,23,8,0,30,2,7,.286,2,7,.286,0,0,,.429,3,4,.750,0,4,4,0,0,0,4,0,9,0,,bridgja01
20,Vasilije Micić,31,5,0,21,0,0,,0,0,,0,0,,,0,0,,0,2,2,1,0,0,3,1,0,0,,micicva01
,Team Totals,,82,82,19830,3381,7075,.478,1176,3112,.378,2205,3963,.556,.561,1379,1702,.810,783,2701,3484,2277,593,392,1086,1471,9317,0,,-9999
