Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Toumani Camara,24,78,78,2548,328,716,.458,135,360,.375,193,356,.542,.552,91,126,.722,173,277,450,175,116,50,109,230,882,0,DPOY-9DEF2,camarto01
2,Anfernee Simons,25,70,70,2292,479,1125,.426,215,593,.363,264,532,.496,.521,175,194,.902,25,164,189,337,60,5,143,117,1348,0,,simonan01
3,Shaedon Sharpe,21,72,52,2252,499,1104,.452,147,472,.311,352,632,.557,.519,190,242,.785,68,256,324,198,62,16,150,120,1335,0,,sharpsh01
4,Deni Avdija,24,72,54,2161,402,844,.476,125,342,.365,277,502,.552,.550,290,372,.780,110,412,522,281,71,35,196,171,1219,2,,avdijde01
5,Scoot Henderson,20,66,10,1759,287,685,.419,105,297,.354,182,388,.469,.496,158,206,.767,52,146,198,335,68,13,177,181,837,0,,hendesc01
6,Jerami Grant,30,47,47,1524,214,574,.373,108,296,.365,106,278,.381,.467,141,166,.849,26,137,163,101,41,46,65,109,677,0,,grantje01
7,Donovan Clingan,20,67,37,1324,180,334,.539,14,49,.286,166,285,.582,.560,62,104,.596,217,310,527,77,34,110,72,189,436,0,,clingdo01
8,Deandre Ayton,26,40,40,1206,265,468,.566,6,32,.188,259,436,.594,.573,40,60,.667,124,282,406,64,31,39,69,88,576,0,,aytonde01
9,Dalano Banton,25,67,7,1120,198,507,.391,72,222,.324,126,285,.442,.462,91,125,.728,30,105,135,160,43,34,86,58,559,0,,bantoda01
10,Kris Murray,24,69,6,1040,117,279,.419,27,120,.225,90,159,.566,.468,26,57,.456,76,106,182,68,35,17,43,66,287,0,,murrakr01
11,Jabari Walker,22,60,1,749,118,229,.515,28,72,.389,90,157,.573,.576,49,71,.690,59,152,211,37,33,6,34,87,313,0,,walkeja01
12,Duop Reath,28,46,0,469,70,166,.422,34,106,.321,36,60,.600,.524,20,22,.909,44,48,92,26,12,14,16,41,194,0,,reathdu01
13,Rayan Rupert,20,52,0,460,58,142,.408,16,59,.271,42,83,.506,.465,23,30,.767,26,44,70,25,16,4,30,37,155,0,,ruperra01
14,Robert Williams,27,20,3,351,50,78,.641,1,3,.333,49,75,.653,.647,15,17,.882,35,83,118,21,13,33,17,31,116,0,,williro04
15,Matisse Thybulle,27,15,5,312,42,88,.477,21,48,.438,21,40,.525,.597,7,15,.467,14,38,52,28,33,9,13,14,112,0,,thybuma01
16,Justin Minaya,25,19,0,101,8,21,.381,2,10,.200,6,11,.545,.429,0,2,.000,5,5,10,7,6,1,5,12,18,0,,minayju01
17,Sidy Cissoko,20,5,0,60,4,12,.333,0,6,.000,4,6,.667,.333,2,3,.667,5,6,11,9,1,1,9,4,10,0,,cissosi01
18,Bryce McGowens,22,13,0,32,4,14,.286,0,4,.000,4,10,.400,.286,5,6,.833,2,1,3,2,1,0,4,3,13,0,,mcgowbr01
19,Taze Moore,26,2,0,20,2,10,.200,1,4,.250,1,6,.167,.250,1,2,.500,4,4,8,1,2,0,2,0,6,0,,mooreta02
,Team Totals,,82,82,19780,3325,7396,.450,1057,3095,.342,2268,4301,.527,.521,1386,1820,.762,1095,2576,3671,1952,678,433,1240,1558,9093,2,,-9999
