Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Bub Carrington,19,82,57,2458,300,748,.401,138,407,.339,162,341,.475,.493,69,85,.812,33,308,341,364,54,21,141,190,807,0,,carrica01
2,Jordan Poole,25,68,68,2001,457,1057,.432,235,622,.378,222,435,.510,.544,242,274,.883,31,172,203,303,86,27,204,201,1391,0,,poolejo01
3,Bilal Coulibaly,20,59,59,1948,263,624,.421,63,224,.281,200,400,.500,.472,138,185,.746,91,203,294,199,78,41,125,139,727,1,,coulibi01
4,Alex Sarr,19,67,67,1814,326,828,.394,105,341,.308,221,487,.454,.457,112,165,.679,124,311,435,161,44,101,114,146,869,0,ROY-4,sarral01
5,Kyshawn George,21,68,38,1802,203,546,.372,114,354,.322,89,192,.464,.476,70,93,.753,49,236,285,169,68,50,97,201,590,0,,georgky01
6,Corey Kispert,25,61,0,1602,255,565,.451,120,330,.364,135,235,.574,.558,75,88,.852,36,145,181,103,26,14,64,98,705,0,,kispeco01
7,Justin Champagnie,23,62,31,1340,210,411,.511,74,193,.383,136,218,.624,.601,50,73,.685,112,239,351,60,65,39,54,110,544,0,,champju01
8,Jonas Valančiūnas,32,49,12,983,231,422,.547,7,27,.259,224,395,.567,.556,95,106,.896,120,284,404,108,22,28,88,97,564,0,,valanjo01
9,Kyle Kuzma,29,32,30,887,191,455,.420,45,160,.281,146,295,.495,.469,59,98,.602,27,158,185,79,20,7,73,52,486,0,,kuzmaky01
10,AJ Johnson,20,22,11,595,74,194,.381,21,85,.247,53,109,.486,.436,31,35,.886,8,44,52,69,11,3,31,50,200,0,,johnsaj01
11,Malcolm Brogdon,32,24,13,564,104,240,.433,16,56,.286,88,184,.478,.467,81,92,.880,21,70,91,98,13,5,38,30,305,0,,brogdma01
12,Richaun Holmes,31,31,7,534,90,139,.647,0,3,.000,90,136,.662,.647,50,60,.833,62,115,177,42,9,23,21,49,230,0,,holmeri01
13,Tristan Vukcevic,21,35,1,513,120,242,.496,38,102,.373,82,140,.586,.574,52,67,.776,26,104,130,39,11,23,42,57,330,0,,vukcetr01
14,Anthony Gill,32,51,0,397,43,88,.489,10,31,.323,33,57,.579,.545,33,50,.660,18,48,66,16,9,2,10,30,129,0,,gillan01
15,Colby Jones,22,15,0,385,48,103,.466,12,39,.308,36,64,.563,.524,23,35,.657,13,51,64,37,20,6,16,24,131,0,,jonesco02
16,Jared Butler,24,32,0,362,85,176,.483,15,41,.366,70,135,.519,.526,35,45,.778,14,27,41,82,12,5,29,40,220,0,,butleja02
17,Khris Middleton,33,14,14,309,52,126,.413,13,47,.277,39,79,.494,.464,33,38,.868,8,44,52,48,18,3,19,23,150,0,,middlkh01
18,Marcus Smart,30,15,1,280,48,109,.440,20,51,.392,28,58,.483,.532,24,35,.686,4,25,29,38,16,3,19,22,140,0,,smartma01
19,Johnny Davis,22,34,0,242,32,78,.410,7,29,.241,25,49,.510,.455,9,15,.600,10,28,38,11,15,6,7,18,80,0,,davisjo06
20,Jaylen Martin,21,13,0,234,30,72,.417,6,22,.273,24,50,.480,.458,9,10,.900,11,33,44,17,9,0,12,13,75,0,,martija02
21,JT Thor,22,11,0,207,16,44,.364,3,15,.200,13,29,.448,.398,8,14,.571,17,25,42,5,6,6,3,11,43,0,,thorjt01
22,Marvin Bagley III,25,19,1,166,38,71,.535,2,10,.200,36,61,.590,.549,15,23,.652,27,29,56,7,7,5,11,12,93,0,,baglema01
23,Patrick Baldwin Jr.,22,22,0,101,17,33,.515,11,21,.524,6,12,.500,.682,2,4,.500,5,17,22,2,3,2,5,5,47,0,,baldwpa01
24,Jalen McDaniels,27,4,0,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,1,0,0,0,0,0,,mcdanja01
,Team Totals,,82,82,19731,3233,7371,.439,1075,3210,.335,2158,4161,.519,.512,1315,1690,.778,867,2716,3583,2058,623,420,1223,1618,8856,1,,-9999
